Trade number,Type,Date and time,Signal,Price JPY,Size (qty),Size (value),Net PnL JPY,Return %,Commission JPY,Favorable excursion JPY,Favorable excursion %,Adverse excursion JPY,Adverse excursion %,Cumulative PnL JPY,Cumulative PnL %,Duration (bars)
45,Exit long,2025-06-20 10:00,TP_OR_SL,145.937,0.68,99.00256,0.23,0.24,0,0.23,0.24,-0.1,-0.10,2.22,0.02,3
45,Entry long,2025-06-20 07:00,USDJPY_BODY_EXTREME,145.592,0.68,99.00256,0.23,0.24,0,0.23,0.24,-0.1,-0.10,2.22,0.02,3
46,Exit short,2025-07-01 08:00,TP_OR_SL,142.992,0.7,99.9166,-0.18,-0.18,0,0.04,0.04,-0.18,-0.18,2.05,0.02,1
46,Entry short,2025-07-01 07:00,USDJPY_BODY_EXTREME,142.738,0.7,99.9166,-0.18,-0.18,0,0.04,0.04,-0.18,-0.18,2.05,0.02,1
47,Exit long,2025-07-08 10:00,TIME_EXIT,146.917,0.68,99.67984,0.22,0.22,0,0.25,0.26,-0.09,-0.09,2.27,0.02,3
47,Entry long,2025-07-08 07:00,USDJPY_BODY_EXTREME,146.588,0.68,99.67984,0.22,0.22,0,0.25,0.26,-0.09,-0.09,2.27,0.02,3
48,Exit long,2025-07-15 08:00,TP_OR_SL,147.753,0.67,99.10171,-0.11,-0.11,0,0.16,0.16,-0.11,-0.11,2.16,0.02,1
48,Entry long,2025-07-15 07:00,USDJPY_BODY_EXTREME,147.913,0.67,99.10171,-0.11,-0.11,0,0.16,0.16,-0.11,-0.11,2.16,0.02,1
49,Exit short,2025-07-21 10:00,TIME_EXIT,147.428,0.67,98.8585,0.08,0.08,0,0.18,0.18,-0.12,-0.12,2.24,0.02,3
49,Entry short,2025-07-21 07:00,USDJPY_BODY_EXTREME,147.55,0.67,98.8585,0.08,0.08,0,0.18,0.18,-0.12,-0.12,2.24,0.02,3
50,Exit short,2025-07-22 08:00,TP_OR_SL,146.769,0.67,98.62333,0.29,0.29,0,0.29,0.29,-0.04,-0.04,2.53,0.03,1
50,Entry short,2025-07-22 07:00,USDJPY_BODY_EXTREME,147.199,0.67,98.62333,0.29,0.29,0,0.29,0.29,-0.04,-0.04,2.53,0.03,1
51,Exit long,2025-07-30 08:00,TP_OR_SL,148.753,0.67,99.36904,0.3,0.30,0,0.3,0.30,-0.03,-0.03,2.83,0.03,1
51,Entry long,2025-07-30 07:00,USDJPY_BODY_EXTREME,148.312,0.67,99.36904,0.3,0.30,0,0.3,0.30,-0.03,-0.03,2.83,0.03,1
52,Exit short,2025-08-04 10:00,TIME_EXIT,147.231,0.67,98.72115,0.08,0.08,0,0.32,0.33,-0.06,-0.07,2.9,0.03,3
52,Entry short,2025-08-04 07:00,USDJPY_BODY_EXTREME,147.345,0.67,98.72115,0.08,0.08,0,0.32,0.33,-0.06,-0.07,2.9,0.03,3
53,Exit long,2025-08-18 10:00,TP_OR_SL,147.94,0.67,98.85984,0.26,0.26,0,0.26,0.26,-0.02,-0.02,3.16,0.03,3
53,Entry long,2025-08-18 07:00,USDJPY_BODY_EXTREME,147.552,0.67,98.85984,0.26,0.26,0,0.26,0.26,-0.02,-0.02,3.16,0.03,3
54,Exit long,2025-09-19 09:00,TP_OR_SL,147.925,0.67,99.27189,-0.16,-0.16,0,0.08,0.08,-0.16,-0.16,3,0.03,2
54,Entry long,2025-09-19 07:00,USDJPY_BODY_EXTREME,148.167,0.67,99.27189,-0.16,-0.16,0,0.08,0.08,-0.16,-0.16,3,0.03,2
55,Exit long,2025-09-24 10:00,TIME_EXIT,148.714,0.67,99.49701,0.14,0.14,0,0.19,0.19,-0.05,-0.05,3.14,0.03,3
55,Entry long,2025-09-24 07:00,USDJPY_BODY_EXTREME,148.503,0.67,99.49701,0.14,0.14,0,0.19,0.19,-0.05,-0.05,3.14,0.03,3
56,Exit short,2025-12-01 08:00,TP_OR_SL,154.686,0.64,99.26976,0.27,0.27,0,0.27,0.27,-0.03,-0.03,3.41,0.03,2
56,Entry short,2025-12-01 06:00,USDJPY_BODY_EXTREME,155.109,0.64,99.26976,0.27,0.27,0,0.27,0.27,-0.03,-0.03,3.41,0.03,2
57,Exit short,2025-12-03 09:00,TIME_EXIT,155.368,0.64,99.46752,0.03,0.03,0,0.13,0.13,-0.07,-0.07,3.45,0.03,3
57,Entry short,2025-12-03 06:00,USDJPY_BODY_EXTREME,155.418,0.64,99.46752,0.03,0.03,0,0.13,0.13,-0.07,-0.07,3.45,0.03,3
58,Exit short,2025-12-04 07:00,TP_OR_SL,154.738,0.64,98.8992,-0.13,-0.13,0,0.01,0.01,-0.13,-0.13,3.31,0.03,1
58,Entry short,2025-12-04 06:00,USDJPY_BODY_EXTREME,154.53,0.64,98.8992,-0.13,-0.13,0,0.01,0.01,-0.13,-0.13,3.31,0.03,1
59,Exit long,2026-03-11 10:00,TIME_EXIT,158.689,0.63,99.85626,0.12,0.12,0,0.12,0.12,-0.12,-0.12,3.43,0.03,3
59,Entry long,2026-03-11 07:00,USDJPY_BODY_EXTREME,158.502,0.63,99.85626,0.12,0.12,0,0.12,0.12,-0.12,-0.12,3.43,0.03,3
60,Exit long,2026-03-26 09:00,TP_OR_SL,159.505,0.62,98.98796,-0.09,-0.10,0,0.03,0.03,-0.09,-0.10,3.34,0.03,2
60,Entry long,2026-03-26 07:00,USDJPY_BODY_EXTREME,159.658,0.62,98.98796,-0.09,-0.10,0,0.03,0.03,-0.09,-0.10,3.34,0.03,2
61,Exit short,2026-03-31 10:00,TIME_EXIT,159.099,0.62,98.8404,0.2,0.20,0,0.22,0.23,-0.09,-0.09,3.54,0.04,3
61,Entry short,2026-03-31 07:00,USDJPY_BODY_EXTREME,159.42,0.62,98.8404,0.2,0.20,0,0.22,0.23,-0.09,-0.09,3.54,0.04,3
62,Exit long,2026-04-13 08:00,TP_OR_SL,159.705,0.62,99.1039,-0.09,-0.09,0,0.01,0.01,-0.09,-0.09,3.45,0.03,1
62,Entry long,2026-04-13 07:00,USDJPY_BODY_EXTREME,159.845,0.62,99.1039,-0.09,-0.09,0,0.01,0.01,-0.09,-0.09,3.45,0.03,1
63,Exit long,2026-04-28 08:00,TP_OR_SL,159.588,0.62,99.04996,-0.11,-0.11,0,0.02,0.02,-0.11,-0.11,3.34,0.03,1
63,Entry long,2026-04-28 07:00,USDJPY_BODY_EXTREME,159.758,0.62,99.04996,-0.11,-0.11,0,0.02,0.02,-0.11,-0.11,3.34,0.03,1
64,Exit long,2026-04-29 09:00,TP_OR_SL,160.077,0.62,99.10576,0.14,0.14,0,0.14,0.14,-0.02,-0.02,3.49,0.03,2
64,Entry long,2026-04-29 07:00,USDJPY_BODY_EXTREME,159.848,0.62,99.10576,0.14,0.14,0,0.14,0.14,-0.02,-0.02,3.49,0.03,2
65,Exit long,2026-07-21 09:00,TP_OR_SL,162.886,0.61,99.26652,0.09,0.09,0,0.09,0.09,-0.02,-0.02,3.58,0.04,2
65,Entry long,2026-07-21 07:00,USDJPY_BODY_EXTREME,162.732,0.61,99.26652,0.09,0.09,0,0.09,0.09,-0.02,-0.02,3.58,0.04,2
66,Exit long,2026-07-27 10:00,TIME_EXIT,163.71,0.61,99.82589,0.04,0.04,0,0.07,0.07,-0.01,-0.01,3.62,0.04,3
66,Entry long,2026-07-27 07:00,USDJPY_BODY_EXTREME,163.649,0.61,99.82589,0.04,0.04,0,0.07,0.07,-0.01,-0.01,3.62,0.04,3
67,Exit short,2026-08-04 10:00,TIME_EXIT,157.557,0.63,99.20358,-0.06,-0.06,0,0.16,0.16,-0.11,-0.11,3.56,0.04,3
67,Entry short,2026-08-04 07:00,USDJPY_BODY_EXTREME,157.466,0.63,99.20358,-0.06,-0.06,0,0.16,0.16,-0.11,-0.11,3.56,0.04,3
