Trade number,Type,Date and time,Signal,Price JPY,Size (qty),Size (value),Net PnL JPY,Return %,Commission JPY,Favorable excursion JPY,Favorable excursion %,Adverse excursion JPY,Adverse excursion %,Cumulative PnL JPY,Cumulative PnL %,Duration (bars)
18,Exit long,2023-04-28 11:00,TIME_EXIT,89.984,1,89.619,0.37,0.41,0,0.48,0.53,-0.07,-0.07,1.25,0.01,3
18,Entry long,2023-04-28 08:00,AUDJPY_1200_LONG,89.619,1,89.619,0.37,0.41,0,0.48,0.53,-0.07,-0.07,1.25,0.01,3
19,Exit long,2023-05-01 11:00,TIME_EXIT,91.158,1,91.106,0.05,0.06,0,0.23,0.25,-0.06,-0.06,1.3,0.01,3
19,Entry long,2023-05-01 08:00,AUDJPY_1200_LONG,91.106,1,91.106,0.05,0.06,0,0.23,0.25,-0.06,-0.06,1.3,0.01,3
20,Exit long,2023-05-02 09:00,TP_OR_SL,91.771,1,91.982,-0.21,-0.23,0,0.03,0.03,-0.21,-0.23,1.09,0.01,1
20,Entry long,2023-05-02 08:00,AUDJPY_1200_LONG,91.982,1,91.982,-0.21,-0.23,0,0.03,0.03,-0.21,-0.23,1.09,0.01,1
21,Exit long,2023-05-05 10:00,TP_OR_SL,90.939,1,90.504,0.44,0.48,0,0.44,0.48,-0.08,-0.09,1.53,0.02,2
21,Entry long,2023-05-05 08:00,AUDJPY_1200_LONG,90.504,1,90.504,0.44,0.48,0,0.44,0.48,-0.08,-0.09,1.53,0.02,2
22,Exit long,2023-05-08 10:00,TP_OR_SL,91.599,1,91.768,-0.17,-0.18,0,0.11,0.12,-0.17,-0.18,1.36,0.01,2
22,Entry long,2023-05-08 08:00,AUDJPY_1200_LONG,91.768,1,91.768,-0.17,-0.18,0,0.11,0.12,-0.17,-0.18,1.36,0.01,2
23,Exit long,2023-05-10 09:00,TP_OR_SL,91.44,1,91.592,-0.15,-0.17,0,0.02,0.02,-0.15,-0.17,1.21,0.01,1
23,Entry long,2023-05-10 08:00,AUDJPY_1200_LONG,91.592,1,91.592,-0.15,-0.17,0,0.02,0.02,-0.15,-0.17,1.21,0.01,1
24,Exit long,2023-05-17 11:00,TIME_EXIT,91.456,1,91.305,0.15,0.17,0,0.25,0.27,-0.06,-0.06,1.36,0.01,3
24,Entry long,2023-05-17 08:00,AUDJPY_1200_LONG,91.305,1,91.305,0.15,0.17,0,0.25,0.27,-0.06,-0.06,1.36,0.01,3
25,Exit long,2023-05-18 09:00,TP_OR_SL,91.391,1,91.572,-0.18,-0.20,0,0.04,0.04,-0.18,-0.20,1.18,0.01,1
25,Entry long,2023-05-18 08:00,AUDJPY_1200_LONG,91.572,1,91.572,-0.18,-0.20,0,0.04,0.04,-0.18,-0.20,1.18,0.01,1
26,Exit long,2023-05-19 11:00,TP_OR_SL,92.127,1,92.288,-0.16,-0.17,0,0.07,0.07,-0.16,-0.17,1.01,0.01,3
26,Entry long,2023-05-19 08:00,AUDJPY_1200_LONG,92.288,1,92.288,-0.16,-0.17,0,0.07,0.07,-0.16,-0.17,1.01,0.01,3
27,Exit long,2023-05-22 10:00,TP_OR_SL,91.751,1,91.925,-0.17,-0.19,0,0.21,0.22,-0.17,-0.19,0.84,0.01,2
27,Entry long,2023-05-22 08:00,AUDJPY_1200_LONG,91.925,1,91.925,-0.17,-0.19,0,0.21,0.22,-0.17,-0.19,0.84,0.01,2
28,Exit long,2023-05-29 11:00,TIME_EXIT,91.767,1,91.72,0.05,0.05,0,0.1,0.10,-0.12,-0.13,0.89,0.01,3
28,Entry long,2023-05-29 08:00,AUDJPY_1200_LONG,91.72,1,91.72,0.05,0.05,0,0.1,0.10,-0.12,-0.13,0.89,0.01,3
29,Exit long,2023-06-02 11:00,TIME_EXIT,92.452,1,92.21,0.24,0.26,0,0.3,0.32,-0.06,-0.06,1.13,0.01,3
29,Entry long,2023-06-02 08:00,AUDJPY_1200_LONG,92.21,1,92.21,0.24,0.26,0,0.3,0.32,-0.06,-0.06,1.13,0.01,3
30,Exit long,2023-06-05 10:00,TP_OR_SL,92.4,1,92.542,-0.14,-0.15,0,0.12,0.13,-0.14,-0.15,0.99,0.01,2
30,Entry long,2023-06-05 08:00,AUDJPY_1200_LONG,92.542,1,92.542,-0.14,-0.15,0,0.12,0.13,-0.14,-0.15,0.99,0.01,2
31,Exit long,2023-06-06 11:00,TIME_EXIT,93.207,1,92.979,0.23,0.25,0,0.28,0.30,-0.06,-0.07,1.22,0.01,3
31,Entry long,2023-06-06 08:00,AUDJPY_1200_LONG,92.979,1,92.979,0.23,0.25,0,0.28,0.30,-0.06,-0.07,1.22,0.01,3
32,Exit long,2023-06-07 10:00,TP_OR_SL,93.152,1,93.332,-0.18,-0.19,0,0.2,0.21,-0.18,-0.19,1.03,0.01,2
32,Entry long,2023-06-07 08:00,AUDJPY_1200_LONG,93.332,1,93.332,-0.18,-0.19,0,0.2,0.21,-0.18,-0.19,1.03,0.01,2
33,Exit long,2023-06-09 11:00,TIME_EXIT,93.91,1,93.808,0.1,0.11,0,0.29,0.31,-0.09,-0.10,1.14,0.01,3
33,Entry long,2023-06-09 08:00,AUDJPY_1200_LONG,93.808,1,93.808,0.1,0.11,0,0.29,0.31,-0.09,-0.10,1.14,0.01,3
34,Exit long,2023-06-13 10:00,TP_OR_SL,94.903,1,94.558,0.35,0.36,0,0.35,0.36,-0.04,-0.04,1.48,0.01,2
34,Entry long,2023-06-13 08:00,AUDJPY_1200_LONG,94.558,1,94.558,0.35,0.36,0,0.35,0.36,-0.04,-0.04,1.48,0.01,2
35,Exit long,2023-06-14 11:00,TIME_EXIT,95.182,1,95.066,0.12,0.12,0,0.22,0.23,-0.04,-0.04,1.6,0.02,3
35,Entry long,2023-06-14 08:00,AUDJPY_1200_LONG,95.066,1,95.066,0.12,0.12,0,0.22,0.23,-0.04,-0.04,1.6,0.02,3
36,Exit long,2023-06-16 10:00,TP_OR_SL,96.881,1,97.114,-0.23,-0.24,0,0.05,0.05,-0.23,-0.24,1.37,0.01,2
36,Entry long,2023-06-16 08:00,AUDJPY_1200_LONG,97.114,1,97.114,-0.23,-0.24,0,0.05,0.05,-0.23,-0.24,1.37,0.01,2
37,Exit long,2023-06-30 11:00,TIME_EXIT,96.25,1,95.984,0.27,0.28,0,0.31,0.33,-0.04,-0.04,1.63,0.02,3
37,Entry long,2023-06-30 08:00,AUDJPY_1200_LONG,95.984,1,95.984,0.27,0.28,0,0.31,0.33,-0.04,-0.04,1.63,0.02,3
38,Exit long,2023-07-03 11:00,TIME_EXIT,96.489,1,96.333,0.16,0.16,0,0.29,0.30,-0.1,-0.10,1.79,0.02,3
38,Entry long,2023-07-03 08:00,AUDJPY_1200_LONG,96.333,1,96.333,0.16,0.16,0,0.29,0.30,-0.1,-0.10,1.79,0.02,3
39,Exit long,2023-07-04 11:00,TIME_EXIT,96.811,1,96.62,0.19,0.20,0,0.21,0.22,-0.08,-0.08,1.98,0.02,3
39,Entry long,2023-07-04 08:00,AUDJPY_1200_LONG,96.62,1,96.62,0.19,0.20,0,0.21,0.22,-0.08,-0.08,1.98,0.02,3
40,Exit long,2023-07-13 11:00,TP_OR_SL,94.994,1,95.186,-0.19,-0.20,0,0.13,0.13,-0.19,-0.20,1.79,0.02,3
40,Entry long,2023-07-13 08:00,AUDJPY_1200_LONG,95.186,1,95.186,-0.19,-0.20,0,0.13,0.13,-0.19,-0.20,1.79,0.02,3
41,Exit long,2023-07-14 10:00,TP_OR_SL,95.105,1,95.3,-0.19,-0.20,0,0.04,0.05,-0.19,-0.20,1.59,0.02,2
41,Entry long,2023-07-14 08:00,AUDJPY_1200_LONG,95.3,1,95.3,-0.19,-0.20,0,0.04,0.05,-0.19,-0.20,1.59,0.02,2
42,Exit long,2023-07-25 11:00,TIME_EXIT,95.658,1,95.659,-0.001,0.00,0,0.19,0.19,-0.09,-0.10,1.59,0.02,3
42,Entry long,2023-07-25 08:00,AUDJPY_1200_LONG,95.659,1,95.659,-0.001,0.00,0,0.19,0.19,-0.09,-0.10,1.59,0.02,3
43,Exit long,2023-07-31 11:00,TIME_EXIT,95.68,1,95.49,0.19,0.20,0,0.34,0.36,-0.02,-0.02,1.78,0.02,3
43,Entry long,2023-07-31 08:00,AUDJPY_1200_LONG,95.49,1,95.49,0.19,0.20,0,0.34,0.36,-0.02,-0.02,1.78,0.02,3
44,Exit long,2023-08-10 11:00,TIME_EXIT,94.682,1,94.718,-0.04,-0.04,0,0.22,0.23,-0.1,-0.11,1.74,0.02,3
44,Entry long,2023-08-10 08:00,AUDJPY_1200_LONG,94.718,1,94.718,-0.04,-0.04,0,0.22,0.23,-0.1,-0.11,1.74,0.02,3
45,Exit long,2023-08-24 10:00,TP_OR_SL,93.665,1,93.824,-0.16,-0.17,0,0.12,0.12,-0.16,-0.17,1.59,0.02,2
45,Entry long,2023-08-24 08:00,AUDJPY_1200_LONG,93.824,1,93.824,-0.16,-0.17,0,0.12,0.12,-0.16,-0.17,1.59,0.02,2
46,Exit long,2023-08-25 09:00,TP_OR_SL,93.648,1,93.796,-0.15,-0.16,0,0.05,0.05,-0.15,-0.16,1.44,0.01,1
46,Entry long,2023-08-25 08:00,AUDJPY_1200_LONG,93.796,1,93.796,-0.15,-0.16,0,0.05,0.05,-0.15,-0.16,1.44,0.01,1
