Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
17,Entry long,2023-09-14 07:00,NZDUSD_1100_LONG,0.59284,1,0.59284,-0.001,-0.18,0,0.001,0.10,-0.001,-0.18,0.01,0.00,1
18,Exit long,2023-09-19 09:00,TP_OR_SL,0.59341,1,0.59424,-0.001,-0.14,0,0.001,0.09,-0.001,-0.14,0.01,0.00,2
18,Entry long,2023-09-19 07:00,NZDUSD_1100_LONG,0.59424,1,0.59424,-0.001,-0.14,0,0.001,0.09,-0.001,-0.14,0.01,0.00,2
19,Exit long,2023-09-20 10:00,TIME_EXIT,0.59726,1,0.59652,0.001,0.12,0,0.001,0.22,-0.0004,-0.07,0.01,0.00,3
19,Entry long,2023-09-20 07:00,NZDUSD_1100_LONG,0.59652,1,0.59652,0.001,0.12,0,0.001,0.22,-0.0004,-0.07,0.01,0.00,3
20,Exit long,2023-09-22 10:00,TIME_EXIT,0.59801,1,0.59712,0.001,0.15,0,0.002,0.30,-0.0005,-0.08,0.01,0.00,3
20,Entry long,2023-09-22 07:00,NZDUSD_1100_LONG,0.59712,1,0.59712,0.001,0.15,0,0.002,0.30,-0.0005,-0.08,0.01,0.00,3
21,Exit long,2023-09-25 10:00,TP_OR_SL,0.59538,1,0.59634,-0.001,-0.16,0,0.001,0.15,-0.001,-0.16,0.01,0.00,3
21,Entry long,2023-09-25 07:00,NZDUSD_1100_LONG,0.59634,1,0.59634,-0.001,-0.16,0,0.001,0.15,-0.001,-0.16,0.01,0.00,3
22,Exit long,2023-10-05 08:00,TP_OR_SL,0.59307,1,0.5943,-0.001,-0.21,0,0.0001,0.02,-0.001,-0.21,0.01,0.00,1
22,Entry long,2023-10-05 07:00,NZDUSD_1100_LONG,0.5943,1,0.5943,-0.001,-0.21,0,0.0001,0.02,-0.001,-0.21,0.01,0.00,1
23,Exit long,2023-10-09 09:00,TP_OR_SL,0.60023,1,0.59782,0.002,0.40,0,0.002,0.40,-0.0004,-0.06,0.01,0.00,2
23,Entry long,2023-10-09 07:00,NZDUSD_1100_LONG,0.59782,1,0.59782,0.002,0.40,0,0.002,0.40,-0.0004,-0.06,0.01,0.00,2
24,Exit long,2023-11-03 08:00,TP_OR_SL,0.59413,1,0.5923,0.002,0.31,0,0.002,0.31,-0.0003,-0.05,0.01,0.00,1
24,Entry long,2023-11-03 07:00,NZDUSD_1100_LONG,0.5923,1,0.5923,0.002,0.31,0,0.002,0.31,-0.0003,-0.05,0.01,0.00,1
25,Exit long,2023-11-15 08:00,TP_OR_SL,0.60313,1,0.60425,-0.001,-0.19,0,0.001,0.20,-0.001,-0.19,0.01,0.00,2
25,Entry long,2023-11-15 06:00,NZDUSD_1100_LONG,0.60425,1,0.60425,-0.001,-0.19,0,0.001,0.20,-0.001,-0.19,0.01,0.00,2
26,Exit long,2023-11-24 09:00,TP_OR_SL,0.60793,1,0.60644,0.001,0.25,0,0.001,0.25,-0.0004,-0.07,0.01,0.00,3
26,Entry long,2023-11-24 06:00,NZDUSD_1100_LONG,0.60644,1,0.60644,0.001,0.25,0,0.001,0.25,-0.0004,-0.07,0.01,0.00,3
27,Exit long,2023-11-27 09:00,TP_OR_SL,0.60862,1,0.6096,-0.001,-0.16,0,0.001,0.13,-0.001,-0.16,0.01,0.00,3
27,Entry long,2023-11-27 06:00,NZDUSD_1100_LONG,0.6096,1,0.6096,-0.001,-0.16,0,0.001,0.13,-0.001,-0.16,0.01,0.00,3
28,Exit long,2023-12-04 09:00,TP_OR_SL,0.61817,1,0.61942,-0.001,-0.20,0,0.0005,0.08,-0.001,-0.20,0.01,0.00,3
28,Entry long,2023-12-04 06:00,NZDUSD_1100_LONG,0.61942,1,0.61942,-0.001,-0.20,0,0.0005,0.08,-0.001,-0.20,0.01,0.00,3
29,Exit long,2023-12-14 08:00,TP_OR_SL,0.61948,1,0.62132,-0.002,-0.30,0,0.001,0.08,-0.002,-0.30,0.01,0.00,2
29,Entry long,2023-12-14 06:00,NZDUSD_1100_LONG,0.62132,1,0.62132,-0.002,-0.30,0,0.001,0.08,-0.002,-0.30,0.01,0.00,2
30,Exit long,2023-12-20 08:00,TP_OR_SL,0.62802,1,0.62896,-0.001,-0.15,0,0.00004,0.01,-0.001,-0.15,0.01,0.00,2
30,Entry long,2023-12-20 06:00,NZDUSD_1100_LONG,0.62896,1,0.62896,-0.001,-0.15,0,0.00004,0.01,-0.001,-0.15,0.01,0.00,2
31,Exit long,2023-12-22 08:00,TP_OR_SL,0.62929,1,0.6303,-0.001,-0.16,0,0.0003,0.05,-0.001,-0.16,0.01,0.00,2
31,Entry long,2023-12-22 06:00,NZDUSD_1100_LONG,0.6303,1,0.6303,-0.001,-0.16,0,0.0003,0.05,-0.001,-0.16,0.01,0.00,2
32,Exit long,2023-12-26 09:00,TIME_EXIT,0.63156,1,0.63112,0.0004,0.07,0,0.001,0.20,-0.0002,-0.04,0.01,0.00,3
32,Entry long,2023-12-26 06:00,NZDUSD_1100_LONG,0.63112,1,0.63112,0.0004,0.07,0,0.001,0.20,-0.0002,-0.04,0.01,0.00,3
33,Exit long,2023-12-27 08:00,TP_OR_SL,0.63226,1,0.63313,-0.001,-0.14,0,0.0001,0.02,-0.001,-0.14,0.01,0.00,2
33,Entry long,2023-12-27 06:00,NZDUSD_1100_LONG,0.63313,1,0.63313,-0.001,-0.14,0,0.0001,0.02,-0.001,-0.14,0.01,0.00,2
34,Exit long,2024-01-11 08:00,TP_OR_SL,0.6244,1,0.62526,-0.001,-0.14,0,0.001,0.13,-0.001,-0.14,0.01,0.00,2
34,Entry long,2024-01-11 06:00,NZDUSD_1100_LONG,0.62526,1,0.62526,-0.001,-0.14,0,0.001,0.13,-0.001,-0.14,0.01,0.00,2
35,Exit long,2024-02-07 09:00,TIME_EXIT,0.6116,1,0.61108,0.001,0.09,0,0.001,0.23,-0.0004,-0.07,0.01,0.00,3
35,Entry long,2024-02-07 06:00,NZDUSD_1100_LONG,0.61108,1,0.61108,0.001,0.09,0,0.001,0.23,-0.0004,-0.07,0.01,0.00,3
36,Exit long,2024-02-16 08:00,TP_OR_SL,0.61002,1,0.61086,-0.001,-0.14,0,0.001,0.08,-0.001,-0.14,0.01,0.00,2
36,Entry long,2024-02-16 06:00,NZDUSD_1100_LONG,0.61086,1,0.61086,-0.001,-0.14,0,0.001,0.08,-0.001,-0.14,0.01,0.00,2
37,Exit long,2024-03-06 09:00,TP_OR_SL,0.61189,1,0.61034,0.002,0.25,0,0.002,0.25,-0.0003,-0.06,0.01,0.00,3
37,Entry long,2024-03-06 06:00,NZDUSD_1100_LONG,0.61034,1,0.61034,0.002,0.25,0,0.002,0.25,-0.0003,-0.06,0.01,0.00,3
38,Exit long,2024-03-14 08:00,TP_OR_SL,0.61636,1,0.61708,-0.001,-0.12,0,0.0003,0.05,-0.001,-0.12,0.01,0.00,1
38,Entry long,2024-03-14 07:00,NZDUSD_1100_LONG,0.61708,1,0.61708,-0.001,-0.12,0,0.0003,0.05,-0.001,-0.12,0.01,0.00,1
39,Exit long,2024-04-03 10:00,TP_OR_SL,0.59839,1,0.597,0.001,0.23,0,0.001,0.23,-0.001,-0.12,0.01,0.00,3
39,Entry long,2024-04-03 07:00,NZDUSD_1100_LONG,0.597,1,0.597,0.001,0.23,0,0.001,0.23,-0.001,-0.12,0.01,0.00,3
40,Exit long,2024-04-10 08:00,TP_OR_SL,0.6071,1,0.60786,-0.001,-0.13,0,0.0004,0.07,-0.001,-0.13,0.01,0.00,1
40,Entry long,2024-04-10 07:00,NZDUSD_1100_LONG,0.60786,1,0.60786,-0.001,-0.13,0,0.0004,0.07,-0.001,-0.13,0.01,0.00,1
41,Exit long,2024-04-29 09:00,TP_OR_SL,0.59648,1,0.59746,-0.001,-0.16,0,0.0004,0.07,-0.001,-0.16,0.01,0.00,2
41,Entry long,2024-04-29 07:00,NZDUSD_1100_LONG,0.59746,1,0.59746,-0.001,-0.16,0,0.0004,0.07,-0.001,-0.16,0.01,0.00,2
42,Exit long,2024-05-03 08:00,TP_OR_SL,0.60028,1,0.59847,0.002,0.30,0,0.002,0.30,-0.00003,-0.01,0.01,0.00,1
42,Entry long,2024-05-03 07:00,NZDUSD_1100_LONG,0.59847,1,0.59847,0.002,0.30,0,0.002,0.30,-0.00003,-0.01,0.01,0.00,1
