Trade number,Type,Date and time,Signal,Price CAD,Size (qty),Size (value),Net PnL CAD,Return %,Commission CAD,Favorable excursion CAD,Favorable excursion %,Adverse excursion CAD,Adverse excursion %,Cumulative PnL CAD,Cumulative PnL %,Duration (bars)
17,Exit long,2024-03-21 09:00,TP_OR_SL,1.34994,1,1.35127,-0.001,-0.10,0,0.0002,0.01,-0.001,-0.10,0.01,0.00,2
17,Entry long,2024-03-21 07:00,USDCAD_1100_LONG_PEN_EXTREME,1.35127,1,1.35127,-0.001,-0.10,0,0.0002,0.01,-0.001,-0.10,0.01,0.00,2
18,Exit long,2024-06-27 08:00,TP_OR_SL,1.36871,1,1.36952,-0.001,-0.06,0,0.0002,0.01,-0.001,-0.06,0.01,0.00,1
18,Entry long,2024-06-27 07:00,USDCAD_1100_LONG_PEN_EXTREME,1.36952,1,1.36952,-0.001,-0.06,0,0.0002,0.01,-0.001,-0.06,0.01,0.00,1
19,Exit long,2024-07-05 08:00,TP_OR_SL,1.36255,1,1.36134,0.001,0.09,0,0.001,0.09,-0.001,-0.04,0.01,0.00,1
19,Entry long,2024-07-05 07:00,USDCAD_1100_LONG_PEN_EXTREME,1.36134,1,1.36134,0.001,0.09,0,0.001,0.09,-0.001,-0.04,0.01,0.00,1
20,Exit long,2024-07-10 08:00,TP_OR_SL,1.36288,1,1.36355,-0.001,-0.05,0,0.0001,0.01,-0.001,-0.05,0.01,0.00,1
20,Entry long,2024-07-10 07:00,USDCAD_1100_LONG_BASE,1.36355,1,1.36355,-0.001,-0.05,0,0.0001,0.01,-0.001,-0.05,0.01,0.00,1
21,Exit long,2024-07-18 10:00,TP_OR_SL,1.36944,1,1.36796,0.001,0.11,0,0.001,0.11,-0.0002,-0.01,0.01,0.00,3
21,Entry long,2024-07-18 07:00,USDCAD_1100_LONG_BASE,1.36796,1,1.36796,0.001,0.11,0,0.001,0.11,-0.0002,-0.01,0.01,0.00,3
22,Exit long,2024-08-14 08:00,TP_OR_SL,1.37062,1,1.37138,-0.001,-0.06,0,0.001,0.06,-0.001,-0.06,0.01,0.00,1
22,Entry long,2024-08-14 07:00,USDCAD_1100_LONG_BASE,1.37138,1,1.37138,-0.001,-0.06,0,0.001,0.06,-0.001,-0.06,0.01,0.00,1
23,Exit long,2024-09-12 10:00,TP_OR_SL,1.36023,1,1.35845,0.002,0.13,0,0.002,0.13,-0.001,-0.05,0.01,0.00,3
23,Entry long,2024-09-12 07:00,USDCAD_1100_LONG_PEN_EXTREME,1.35845,1,1.35845,0.002,0.13,0,0.002,0.13,-0.001,-0.05,0.01,0.00,3
24,Exit long,2024-10-29 09:00,TP_OR_SL,1.39046,1,1.38895,0.002,0.11,0,0.002,0.11,-0.00001,0.00,0.02,0.00,2
24,Entry long,2024-10-29 07:00,USDCAD_1100_LONG_BASE,1.38895,1,1.38895,0.002,0.11,0,0.002,0.11,-0.00001,0.00,0.02,0.00,2
25,Exit long,2024-12-12 09:00,TP_OR_SL,1.4181,1,1.41541,0.003,0.19,0,0.003,0.19,0,0.00,0.02,0.00,3
25,Entry long,2024-12-12 06:00,USDCAD_1100_LONG_PEN_EXTREME,1.41541,1,1.41541,0.003,0.19,0,0.003,0.19,0,0.00,0.02,0.00,3
26,Exit long,2025-03-21 09:00,TP_OR_SL,1.43648,1,1.4338,0.003,0.19,0,0.003,0.19,-0.001,-0.04,0.02,0.00,2
