Trade number,Type,Date and time,Signal,Price AUD,Size (qty),Size (value),Net PnL AUD,Return %,Commission AUD,Favorable excursion AUD,Favorable excursion %,Adverse excursion AUD,Adverse excursion %,Cumulative PnL AUD,Cumulative PnL %,Duration (bars)
83,Exit long,2024-03-22 09:00,TP_OR_SL,1.65873,1,1.66074,-0.002,-0.12,0,0,0.00,-0.002,-0.12,0.04,0.00,2
83,Entry long,2024-03-22 07:00,EURAUD_1100_LONG,1.66074,1,1.66074,-0.002,-0.12,0,0,0.00,-0.002,-0.12,0.04,0.00,2
84,Exit long,2024-04-16 09:00,TP_OR_SL,1.66006,1,1.65622,0.004,0.23,0,0.004,0.23,-0.00004,0.00,0.04,0.00,2
84,Entry long,2024-04-16 07:00,EURAUD_1100_LONG,1.65622,1,1.65622,0.004,0.23,0,0.004,0.23,-0.00004,0.00,0.04,0.00,2
85,Exit long,2024-04-19 10:00,TIME_EXIT,1.66159,1,1.66154,0.0001,0.00,0,0.001,0.06,-0.002,-0.11,0.04,0.00,3
85,Entry long,2024-04-19 07:00,EURAUD_1100_LONG,1.66154,1,1.66154,0.0001,0.00,0,0.001,0.06,-0.002,-0.11,0.04,0.00,3
86,Exit long,2024-04-30 08:00,TP_OR_SL,1.64583,1,1.64222,0.004,0.22,0,0.004,0.22,-0.001,-0.04,0.05,0.00,1
86,Entry long,2024-04-30 07:00,EURAUD_1100_LONG,1.64222,1,1.64222,0.004,0.22,0,0.004,0.22,-0.001,-0.04,0.05,0.00,1
87,Exit long,2024-05-08 10:00,TP_OR_SL,1.63551,1,1.63712,-0.002,-0.10,0,0.001,0.07,-0.002,-0.10,0.05,0.00,3
87,Entry long,2024-05-08 07:00,EURAUD_1100_LONG,1.63712,1,1.63712,-0.002,-0.10,0,0.001,0.07,-0.002,-0.10,0.05,0.00,3
88,Exit long,2024-05-24 10:00,TP_OR_SL,1.63746,1,1.63898,-0.002,-0.09,0,0.002,0.10,-0.002,-0.09,0.04,0.00,3
88,Entry long,2024-05-24 07:00,EURAUD_1100_LONG,1.63898,1,1.63898,-0.002,-0.09,0,0.002,0.10,-0.002,-0.09,0.04,0.00,3
89,Exit long,2024-06-05 10:00,TP_OR_SL,1.63857,1,1.63511,0.003,0.21,0,0.003,0.21,-0.0002,-0.01,0.05,0.00,3
89,Entry long,2024-06-05 07:00,EURAUD_1100_LONG,1.63511,1,1.63511,0.003,0.21,0,0.003,0.21,-0.0002,-0.01,0.05,0.00,3
90,Exit long,2024-06-06 08:00,TP_OR_SL,1.64032,1,1.63725,0.003,0.19,0,0.003,0.19,-0.001,-0.04,0.05,0.00,1
90,Entry long,2024-06-06 07:00,EURAUD_1100_LONG,1.63725,1,1.63725,0.003,0.19,0,0.003,0.19,-0.001,-0.04,0.05,0.00,1
91,Exit long,2024-06-17 10:00,TIME_EXIT,1.62548,1,1.62443,0.001,0.06,0,0.002,0.12,-0.001,-0.06,0.05,0.00,3
91,Entry long,2024-06-17 07:00,EURAUD_1100_LONG,1.62443,1,1.62443,0.001,0.06,0,0.002,0.12,-0.001,-0.06,0.05,0.00,3
92,Exit long,2024-06-24 09:00,TP_OR_SL,1.6144,1,1.61609,-0.002,-0.10,0,0.00003,0.00,-0.002,-0.10,0.05,0.00,2
92,Entry long,2024-06-24 07:00,EURAUD_1100_LONG,1.61609,1,1.61609,-0.002,-0.10,0,0.00003,0.00,-0.002,-0.10,0.05,0.00,2
93,Exit long,2024-07-12 09:00,TP_OR_SL,1.60603,1,1.60764,-0.002,-0.10,0,0.001,0.05,-0.002,-0.10,0.05,0.00,2
93,Entry long,2024-07-12 07:00,EURAUD_1100_LONG,1.60764,1,1.60764,-0.002,-0.10,0,0.001,0.05,-0.002,-0.10,0.05,0.00,2
94,Exit long,2024-07-15 10:00,TIME_EXIT,1.61114,1,1.60905,0.002,0.13,0,0.003,0.16,-0.0003,-0.02,0.05,0.00,3
94,Entry long,2024-07-15 07:00,EURAUD_1100_LONG,1.60905,1,1.60905,0.002,0.13,0,0.003,0.16,-0.0003,-0.02,0.05,0.00,3
95,Exit long,2024-07-17 10:00,TP_OR_SL,1.62533,1,1.62215,0.003,0.20,0,0.003,0.20,-0.001,-0.04,0.05,0.00,3
95,Entry long,2024-07-17 07:00,EURAUD_1100_LONG,1.62215,1,1.62215,0.003,0.20,0,0.003,0.20,-0.001,-0.04,0.05,0.00,3
96,Exit long,2024-07-19 10:00,TIME_EXIT,1.627,1,1.627,0,0.00,0,0.002,0.11,-0.001,-0.07,0.05,0.00,3
96,Entry long,2024-07-19 07:00,EURAUD_1100_LONG,1.627,1,1.627,0,0.00,0,0.002,0.11,-0.001,-0.07,0.05,0.00,3
97,Exit long,2024-07-22 09:00,TP_OR_SL,1.63916,1,1.63593,0.003,0.20,0,0.003,0.20,-0.0001,-0.01,0.06,0.00,2
97,Entry long,2024-07-22 07:00,EURAUD_1100_LONG,1.63593,1,1.63593,0.003,0.20,0,0.003,0.20,-0.0001,-0.01,0.06,0.00,2
98,Exit long,2024-07-25 08:00,TP_OR_SL,1.66129,1,1.6635,-0.002,-0.13,0,0.001,0.05,-0.002,-0.13,0.06,0.00,1
98,Entry long,2024-07-25 07:00,EURAUD_1100_LONG,1.6635,1,1.6635,-0.002,-0.13,0,0.001,0.05,-0.002,-0.13,0.06,0.00,1
99,Exit long,2024-08-02 08:00,TP_OR_SL,1.66815,1,1.66274,0.01,0.33,0,0.01,0.33,-0.003,-0.15,0.06,0.00,1
99,Entry long,2024-08-02 07:00,EURAUD_1100_LONG,1.66274,1,1.66274,0.01,0.33,0,0.01,0.33,-0.003,-0.15,0.06,0.00,1
100,Exit long,2024-08-05 09:00,TP_OR_SL,1.69545,1,1.70146,-0.01,-0.35,0,0.01,0.40,-0.01,-0.35,0.05,0.00,2
100,Entry long,2024-08-05 07:00,EURAUD_1100_LONG,1.70146,1,1.70146,-0.01,-0.35,0,0.01,0.40,-0.01,-0.35,0.05,0.00,2
101,Exit long,2024-08-06 09:00,TP_OR_SL,1.68052,1,1.68534,-0.005,-0.29,0,0,0.00,-0.005,-0.29,0.05,0.00,2
101,Entry long,2024-08-06 07:00,EURAUD_1100_LONG,1.68534,1,1.68534,-0.005,-0.29,0,0,0.00,-0.005,-0.29,0.05,0.00,2
102,Exit long,2024-08-14 08:00,TP_OR_SL,1.66118,1,1.66357,-0.002,-0.14,0,0.002,0.11,-0.002,-0.14,0.05,0.00,1
102,Entry long,2024-08-14 07:00,EURAUD_1100_LONG,1.66357,1,1.66357,-0.002,-0.14,0,0.002,0.11,-0.002,-0.14,0.05,0.00,1
103,Exit long,2024-08-22 10:00,TIME_EXIT,1.65538,1,1.65464,0.001,0.04,0,0.002,0.15,-0.001,-0.06,0.05,0.00,3
103,Entry long,2024-08-22 07:00,EURAUD_1100_LONG,1.65464,1,1.65464,0.001,0.04,0,0.002,0.15,-0.001,-0.06,0.05,0.00,3
104,Exit long,2024-09-03 10:00,TP_OR_SL,1.64352,1,1.63963,0.004,0.24,0,0.004,0.24,-0.001,-0.06,0.05,0.00,3
104,Entry long,2024-09-03 07:00,EURAUD_1100_LONG,1.63963,1,1.63963,0.004,0.24,0,0.004,0.24,-0.001,-0.06,0.05,0.00,3
105,Exit long,2024-09-05 08:00,TP_OR_SL,1.64806,1,1.65001,-0.002,-0.12,0,0.002,0.12,-0.002,-0.12,0.05,0.00,1
105,Entry long,2024-09-05 07:00,EURAUD_1100_LONG,1.65001,1,1.65001,-0.002,-0.12,0,0.002,0.12,-0.002,-0.12,0.05,0.00,1
106,Exit long,2024-10-03 10:00,TIME_EXIT,1.6107,1,1.6118,-0.001,-0.07,0,0.002,0.13,-0.002,-0.11,0.05,0.00,3
106,Entry long,2024-10-03 07:00,EURAUD_1100_LONG,1.6118,1,1.6118,-0.001,-0.07,0,0.002,0.13,-0.002,-0.11,0.05,0.00,3
107,Exit long,2024-10-04 08:00,TP_OR_SL,1.611,1,1.61274,-0.002,-0.11,0,0,0.00,-0.002,-0.11,0.05,0.00,1
107,Entry long,2024-10-04 07:00,EURAUD_1100_LONG,1.61274,1,1.61274,-0.002,-0.11,0,0,0.00,-0.002,-0.11,0.05,0.00,1
108,Exit long,2024-10-16 10:00,TIME_EXIT,1.63163,1,1.62959,0.002,0.13,0,0.003,0.20,-0.001,-0.04,0.05,0.00,3
108,Entry long,2024-10-16 07:00,EURAUD_1100_LONG,1.62959,1,1.62959,0.002,0.13,0,0.003,0.20,-0.001,-0.04,0.05,0.00,3
109,Exit long,2024-10-21 08:00,TP_OR_SL,1.6215,1,1.62325,-0.002,-0.11,0,0.0003,0.02,-0.002,-0.11,0.05,0.00,1
109,Entry long,2024-10-21 07:00,EURAUD_1100_LONG,1.62325,1,1.62325,-0.002,-0.11,0,0.0003,0.02,-0.002,-0.11,0.05,0.00,1
110,Exit long,2024-10-29 08:00,TP_OR_SL,1.64355,1,1.6456,-0.002,-0.12,0,0.001,0.06,-0.002,-0.12,0.05,0.00,1
110,Entry long,2024-10-29 07:00,EURAUD_1100_LONG,1.6456,1,1.6456,-0.002,-0.12,0,0.001,0.06,-0.002,-0.12,0.05,0.00,1
111,Exit long,2024-10-31 09:00,TP_OR_SL,1.65777,1,1.65388,0.004,0.24,0,0.004,0.24,-0.001,-0.05,0.05,0.00,2
111,Entry long,2024-10-31 07:00,EURAUD_1100_LONG,1.65388,1,1.65388,0.004,0.24,0,0.004,0.24,-0.001,-0.05,0.05,0.00,2
112,Exit long,2024-11-13 08:00,TP_OR_SL,1.62755,1,1.62949,-0.002,-0.12,0,0.001,0.06,-0.002,-0.12,0.05,0.00,2
112,Entry long,2024-11-13 06:00,EURAUD_1100_LONG,1.62949,1,1.62949,-0.002,-0.12,0,0.001,0.06,-0.002,-0.12,0.05,0.00,2
113,Exit long,2024-11-26 09:00,TP_OR_SL,1.62421,1,1.61936,0.005,0.30,0,0.005,0.30,-0.001,-0.09,0.05,0.00,3
113,Entry long,2024-11-26 06:00,EURAUD_1100_LONG,1.61936,1,1.61936,0.005,0.30,0,0.005,0.30,-0.001,-0.09,0.05,0.00,3
114,Exit long,2024-11-27 09:00,TIME_EXIT,1.62533,1,1.62448,0.001,0.05,0,0.003,0.21,-0.001,-0.05,0.05,0.00,3
114,Entry long,2024-11-27 06:00,EURAUD_1100_LONG,1.62448,1,1.62448,0.001,0.05,0,0.003,0.21,-0.001,-0.05,0.05,0.00,3
115,Exit long,2024-12-04 09:00,TP_OR_SL,1.6355,1,1.63806,-0.003,-0.16,0,0.001,0.08,-0.003,-0.16,0.05,0.00,3
115,Entry long,2024-12-04 06:00,EURAUD_1100_LONG,1.63806,1,1.63806,-0.003,-0.16,0,0.001,0.08,-0.003,-0.16,0.05,0.00,3
116,Exit long,2024-12-05 08:00,TP_OR_SL,1.64023,1,1.63636,0.004,0.24,0,0.004,0.24,-0.00002,0.00,0.05,0.00,2
116,Entry long,2024-12-05 06:00,EURAUD_1100_LONG,1.63636,1,1.63636,0.004,0.24,0,0.004,0.24,-0.00002,0.00,0.05,0.00,2
117,Exit long,2024-12-06 08:00,TP_OR_SL,1.648,1,1.65008,-0.002,-0.13,0,0.001,0.07,-0.002,-0.13,0.05,0.00,2
117,Entry long,2024-12-06 06:00,EURAUD_1100_LONG,1.65008,1,1.65008,-0.002,-0.13,0,0.001,0.07,-0.002,-0.13,0.05,0.00,2
118,Exit long,2024-12-11 09:00,TP_OR_SL,1.65135,1,1.65368,-0.002,-0.14,0,0.001,0.03,-0.002,-0.14,0.05,0.00,3
118,Entry long,2024-12-11 06:00,EURAUD_1100_LONG,1.65368,1,1.65368,-0.002,-0.14,0,0.001,0.03,-0.002,-0.14,0.05,0.00,3
119,Exit long,2024-12-16 09:00,TIME_EXIT,1.65018,1,1.65121,-0.001,-0.06,0,0.001,0.07,-0.001,-0.07,0.05,0.00,3
119,Entry long,2024-12-16 06:00,EURAUD_1100_LONG,1.65121,1,1.65121,-0.001,-0.06,0,0.001,0.07,-0.001,-0.07,0.05,0.00,3
120,Exit long,2024-12-17 09:00,TIME_EXIT,1.65608,1,1.65392,0.002,0.13,0,0.002,0.14,-0.001,-0.05,0.05,0.00,3
120,Entry long,2024-12-17 06:00,EURAUD_1100_LONG,1.65392,1,1.65392,0.002,0.13,0,0.002,0.14,-0.001,-0.05,0.05,0.00,3
121,Exit long,2024-12-20 09:00,TP_OR_SL,1.66629,1,1.6689,-0.003,-0.16,0,0.0004,0.03,-0.003,-0.16,0.05,0.00,3
121,Entry long,2024-12-20 06:00,EURAUD_1100_LONG,1.6689,1,1.6689,-0.003,-0.16,0,0.0004,0.03,-0.003,-0.16,0.05,0.00,3
122,Exit long,2024-12-24 09:00,TIME_EXIT,1.66792,1,1.66786,0.0001,0.00,0,0.002,0.14,-0.001,-0.04,0.05,0.00,3
122,Entry long,2024-12-24 06:00,EURAUD_1100_LONG,1.66786,1,1.66786,0.0001,0.00,0,0.002,0.14,-0.001,-0.04,0.05,0.00,3
123,Exit long,2024-12-27 07:00,TP_OR_SL,1.67675,1,1.6787,-0.002,-0.12,0,0.0003,0.02,-0.002,-0.12,0.05,0.00,1
123,Entry long,2024-12-27 06:00,EURAUD_1100_LONG,1.6787,1,1.6787,-0.002,-0.12,0,0.0003,0.02,-0.002,-0.12,0.05,0.00,1
124,Exit long,2024-12-30 08:00,TP_OR_SL,1.67185,1,1.67406,-0.002,-0.13,0,0.002,0.14,-0.002,-0.13,0.04,0.00,2
124,Entry long,2024-12-30 06:00,EURAUD_1100_LONG,1.67406,1,1.67406,-0.002,-0.13,0,0.002,0.14,-0.002,-0.13,0.04,0.00,2
125,Exit long,2025-01-17 09:00,TP_OR_SL,1.66069,1,1.6626,-0.002,-0.11,0,0.004,0.22,-0.002,-0.11,0.04,0.00,3
125,Entry long,2025-01-17 06:00,EURAUD_1100_LONG,1.6626,1,1.6626,-0.002,-0.11,0,0.004,0.22,-0.002,-0.11,0.04,0.00,3
126,Exit long,2025-01-20 07:00,TP_OR_SL,1.66227,1,1.66425,-0.002,-0.12,0,0.0001,0.00,-0.002,-0.12,0.04,0.00,1
126,Entry long,2025-01-20 06:00,EURAUD_1100_LONG,1.66425,1,1.66425,-0.002,-0.12,0,0.0001,0.00,-0.002,-0.12,0.04,0.00,1
127,Exit long,2025-01-21 09:00,TIME_EXIT,1.66298,1,1.66477,-0.002,-0.11,0,0.0001,0.01,-0.003,-0.16,0.04,0.00,3
127,Entry long,2025-01-21 06:00,EURAUD_1100_LONG,1.66477,1,1.66477,-0.002,-0.11,0,0.0001,0.01,-0.003,-0.16,0.04,0.00,3
128,Exit long,2025-01-27 09:00,TP_OR_SL,1.67253,1,1.66886,0.004,0.22,0,0.004,0.22,-0.002,-0.09,0.04,0.00,3
128,Entry long,2025-01-27 06:00,EURAUD_1100_LONG,1.66886,1,1.66886,0.004,0.22,0,0.004,0.22,-0.002,-0.09,0.04,0.00,3
129,Exit long,2025-01-28 09:00,TIME_EXIT,1.67032,1,1.66852,0.002,0.11,0,0.003,0.16,-0.0004,-0.03,0.04,0.00,3
129,Entry long,2025-01-28 06:00,EURAUD_1100_LONG,1.66852,1,1.66852,0.002,0.11,0,0.003,0.16,-0.0004,-0.03,0.04,0.00,3
130,Exit long,2025-02-12 08:00,TP_OR_SL,1.6508,1,1.65248,-0.002,-0.10,0,0.003,0.19,-0.002,-0.10,0.04,0.00,2
130,Entry long,2025-02-12 06:00,EURAUD_1100_LONG,1.65248,1,1.65248,-0.002,-0.10,0,0.003,0.19,-0.002,-0.10,0.04,0.00,2
131,Exit long,2025-02-25 09:00,TP_OR_SL,1.65699,1,1.65316,0.004,0.23,0,0.004,0.23,0,0.00,0.05,0.00,3
131,Entry long,2025-02-25 06:00,EURAUD_1100_LONG,1.65316,1,1.65316,0.004,0.23,0,0.004,0.23,0,0.00,0.05,0.00,3
132,Exit long,2025-02-26 09:00,TIME_EXIT,1.66334,1,1.66171,0.002,0.10,0,0.003,0.20,-0.001,-0.05,0.05,0.00,3
132,Entry long,2025-02-26 06:00,EURAUD_1100_LONG,1.66171,1,1.66171,0.002,0.10,0,0.003,0.20,-0.001,-0.05,0.05,0.00,3
133,Exit long,2025-03-03 09:00,TIME_EXIT,1.67914,1,1.67978,-0.001,-0.04,0,0.002,0.14,-0.002,-0.11,0.05,0.00,3
133,Entry long,2025-03-03 06:00,EURAUD_1100_LONG,1.67978,1,1.67978,-0.001,-0.04,0,0.002,0.14,-0.002,-0.11,0.05,0.00,3
134,Exit long,2025-03-07 09:00,TIME_EXIT,1.72129,1,1.7234,-0.002,-0.12,0,0.004,0.22,-0.003,-0.15,0.05,0.00,3
134,Entry long,2025-03-07 06:00,EURAUD_1100_LONG,1.7234,1,1.7234,-0.002,-0.12,0,0.004,0.22,-0.003,-0.15,0.05,0.00,3
135,Exit long,2025-03-12 08:00,TP_OR_SL,1.73145,1,1.73404,-0.003,-0.15,0,0.001,0.08,-0.003,-0.15,0.04,0.00,1
135,Entry long,2025-03-12 07:00,EURAUD_1100_LONG,1.73404,1,1.73404,-0.003,-0.15,0,0.001,0.08,-0.003,-0.15,0.04,0.00,1
136,Exit long,2025-03-20 08:00,TP_OR_SL,1.723,1,1.72561,-0.003,-0.15,0,0.001,0.08,-0.003,-0.15,0.04,0.00,1
136,Entry long,2025-03-20 07:00,EURAUD_1100_LONG,1.72561,1,1.72561,-0.003,-0.15,0,0.001,0.08,-0.003,-0.15,0.04,0.00,1
137,Exit long,2025-03-21 10:00,TIME_EXIT,1.72441,1,1.72439,0.00002,0.00,0,0.003,0.15,-0.002,-0.10,0.04,0.00,3
137,Entry long,2025-03-21 07:00,EURAUD_1100_LONG,1.72439,1,1.72439,0.00002,0.00,0,0.003,0.15,-0.002,-0.10,0.04,0.00,3
138,Exit long,2025-03-31 09:00,TP_OR_SL,1.73582,1,1.73116,0.005,0.27,0,0.005,0.27,-0.0002,-0.01,0.05,0.00,2
138,Entry long,2025-03-31 07:00,EURAUD_1100_LONG,1.73116,1,1.73116,0.005,0.27,0,0.005,0.27,-0.0002,-0.01,0.05,0.00,2
139,Exit long,2025-04-03 10:00,TIME_EXIT,1.7448,1,1.74347,0.001,0.08,0,0.003,0.16,-0.005,-0.26,0.05,0.00,3
139,Entry long,2025-04-03 07:00,EURAUD_1100_LONG,1.74347,1,1.74347,0.001,0.08,0,0.003,0.16,-0.005,-0.26,0.05,0.00,3
140,Exit long,2025-04-04 09:00,TP_OR_SL,1.80095,1,1.80934,-0.01,-0.46,0,0.01,0.31,-0.01,-0.46,0.04,0.00,2
140,Entry long,2025-04-04 07:00,EURAUD_1100_LONG,1.80934,1,1.80934,-0.01,-0.46,0,0.01,0.31,-0.01,-0.46,0.04,0.00,2
141,Exit long,2025-04-22 10:00,TIME_EXIT,1.79637,1,1.79607,0.0003,0.02,0,0.002,0.13,-0.002,-0.14,0.04,0.00,3
141,Entry long,2025-04-22 07:00,EURAUD_1100_LONG,1.79607,1,1.79607,0.0003,0.02,0,0.002,0.13,-0.002,-0.14,0.04,0.00,3
142,Exit long,2025-05-08 10:00,TP_OR_SL,1.75753,1,1.76051,-0.003,-0.17,0,0.003,0.15,-0.003,-0.17,0.04,0.00,3
142,Entry long,2025-05-08 07:00,EURAUD_1100_LONG,1.76051,1,1.76051,-0.003,-0.17,0,0.003,0.15,-0.003,-0.17,0.04,0.00,3
143,Exit long,2025-05-09 09:00,TP_OR_SL,1.75449,1,1.75722,-0.003,-0.16,0,0.001,0.04,-0.003,-0.16,0.03,0.00,2
143,Entry long,2025-05-09 07:00,EURAUD_1100_LONG,1.75722,1,1.75722,-0.003,-0.16,0,0.001,0.04,-0.003,-0.16,0.03,0.00,2
144,Exit long,2025-05-22 10:00,TP_OR_SL,1.75811,1,1.76106,-0.003,-0.17,0,0.001,0.06,-0.003,-0.17,0.03,0.00,3
144,Entry long,2025-05-22 07:00,EURAUD_1100_LONG,1.76106,1,1.76106,-0.003,-0.17,0,0.001,0.06,-0.003,-0.17,0.03,0.00,3
145,Exit long,2025-05-27 10:00,TIME_EXIT,1.76057,1,1.76114,-0.001,-0.03,0,0.002,0.09,-0.001,-0.06,0.03,0.00,3
145,Entry long,2025-05-27 07:00,EURAUD_1100_LONG,1.76114,1,1.76114,-0.001,-0.03,0,0.002,0.09,-0.001,-0.06,0.03,0.00,3
146,Exit long,2025-05-30 10:00,TP_OR_SL,1.76317,1,1.76574,-0.003,-0.15,0,0.004,0.24,-0.003,-0.15,0.03,0.00,3
146,Entry long,2025-05-30 07:00,EURAUD_1100_LONG,1.76574,1,1.76574,-0.003,-0.15,0,0.004,0.24,-0.003,-0.15,0.03,0.00,3
147,Exit long,2025-06-06 08:00,TP_OR_SL,1.75699,1,1.759,-0.002,-0.11,0,0.001,0.04,-0.002,-0.11,0.02,0.00,1
147,Entry long,2025-06-06 07:00,EURAUD_1100_LONG,1.759,1,1.759,-0.002,-0.11,0,0.001,0.04,-0.002,-0.11,0.02,0.00,1
148,Exit long,2025-06-11 08:00,TP_OR_SL,1.75525,1,1.75732,-0.002,-0.12,0,0.002,0.10,-0.002,-0.12,0.02,0.00,1
148,Entry long,2025-06-11 07:00,EURAUD_1100_LONG,1.75732,1,1.75732,-0.002,-0.12,0,0.002,0.10,-0.002,-0.12,0.02,0.00,1
149,Exit long,2025-06-12 10:00,TP_OR_SL,1.77568,1,1.77896,-0.003,-0.18,0,0.004,0.25,-0.003,-0.18,0.02,0.00,3
149,Entry long,2025-06-12 07:00,EURAUD_1100_LONG,1.77896,1,1.77896,-0.003,-0.18,0,0.004,0.25,-0.003,-0.18,0.02,0.00,3
150,Exit long,2025-06-19 10:00,TIME_EXIT,1.7771,1,1.77501,0.002,0.12,0,0.004,0.22,-0.002,-0.10,0.02,0.00,3
150,Entry long,2025-06-19 07:00,EURAUD_1100_LONG,1.77501,1,1.77501,0.002,0.12,0,0.004,0.22,-0.002,-0.10,0.02,0.00,3
151,Exit long,2025-06-23 10:00,TP_OR_SL,1.79281,1,1.79616,-0.003,-0.19,0,0.0004,0.02,-0.003,-0.19,0.02,0.00,3
151,Entry long,2025-06-23 07:00,EURAUD_1100_LONG,1.79616,1,1.79616,-0.003,-0.19,0,0.0004,0.02,-0.003,-0.19,0.02,0.00,3
152,Exit long,2025-06-27 09:00,TP_OR_SL,1.79625,1,1.79166,0.005,0.26,0,0.005,0.26,-0.001,-0.03,0.02,0.00,2
152,Entry long,2025-06-27 07:00,EURAUD_1100_LONG,1.79166,1,1.79166,0.005,0.26,0,0.005,0.26,-0.001,-0.03,0.02,0.00,2
153,Exit long,2025-06-30 09:00,TP_OR_SL,1.79265,1,1.79489,-0.002,-0.12,0,0.0002,0.01,-0.002,-0.12,0.02,0.00,2
153,Entry long,2025-06-30 07:00,EURAUD_1100_LONG,1.79489,1,1.79489,-0.002,-0.12,0,0.0002,0.01,-0.002,-0.12,0.02,0.00,2
154,Exit long,2025-07-01 10:00,TP_OR_SL,1.79162,1,1.79399,-0.002,-0.13,0,0.002,0.13,-0.002,-0.13,0.02,0.00,3
154,Entry long,2025-07-01 07:00,EURAUD_1100_LONG,1.79399,1,1.79399,-0.002,-0.13,0,0.002,0.13,-0.002,-0.13,0.02,0.00,3
155,Exit long,2025-07-21 10:00,TP_OR_SL,1.79196,1,1.78854,0.003,0.19,0,0.003,0.19,-0.001,-0.06,0.02,0.00,3
155,Entry long,2025-07-21 07:00,EURAUD_1100_LONG,1.78854,1,1.78854,0.003,0.19,0,0.003,0.19,-0.001,-0.06,0.02,0.00,3
156,Exit long,2025-08-12 10:00,TIME_EXIT,1.78911,1,1.78922,-0.0001,-0.01,0,0.003,0.17,-0.002,-0.09,0.02,0.00,3
156,Entry long,2025-08-12 07:00,EURAUD_1100_LONG,1.78922,1,1.78922,-0.0001,-0.01,0,0.003,0.17,-0.002,-0.09,0.02,0.00,3
157,Exit long,2025-08-14 10:00,TP_OR_SL,1.79487,1,1.79137,0.004,0.20,0,0.004,0.20,-0.001,-0.05,0.02,0.00,3
157,Entry long,2025-08-14 07:00,EURAUD_1100_LONG,1.79137,1,1.79137,0.004,0.20,0,0.004,0.20,-0.001,-0.05,0.02,0.00,3
158,Exit long,2025-08-20 10:00,TP_OR_SL,1.81436,1,1.81031,0.004,0.22,0,0.004,0.22,-0.002,-0.10,0.03,0.00,3
158,Entry long,2025-08-20 07:00,EURAUD_1100_LONG,1.81031,1,1.81031,0.004,0.22,0,0.004,0.22,-0.002,-0.10,0.03,0.00,3
159,Exit long,2025-09-05 08:00,TP_OR_SL,1.78541,1,1.7868,-0.001,-0.08,0,0.00004,0.00,-0.001,-0.08,0.03,0.00,1
159,Entry long,2025-09-05 07:00,EURAUD_1100_LONG,1.7868,1,1.7868,-0.001,-0.08,0,0.00004,0.00,-0.001,-0.08,0.03,0.00,1
160,Exit long,2025-09-22 10:00,TIME_EXIT,1.78614,1,1.78552,0.001,0.03,0,0.003,0.18,0,0.00,0.03,0.00,3
160,Entry long,2025-09-22 07:00,EURAUD_1100_LONG,1.78552,1,1.78552,0.001,0.03,0,0.003,0.18,0,0.00,0.03,0.00,3
161,Exit long,2025-11-05 08:00,TP_OR_SL,1.77071,1,1.77316,-0.002,-0.14,0,0.001,0.06,-0.002,-0.14,0.03,0.00,2
161,Entry long,2025-11-05 06:00,EURAUD_1100_LONG,1.77316,1,1.77316,-0.002,-0.14,0,0.001,0.06,-0.002,-0.14,0.03,0.00,2
162,Exit long,2025-11-06 09:00,TP_OR_SL,1.7742,1,1.77019,0.004,0.23,0,0.004,0.23,-0.002,-0.09,0.03,0.00,3
162,Entry long,2025-11-06 06:00,EURAUD_1100_LONG,1.77019,1,1.77019,0.004,0.23,0,0.004,0.23,-0.002,-0.09,0.03,0.00,3
163,Exit long,2025-11-07 09:00,TP_OR_SL,1.7869,1,1.7821,0.005,0.27,0,0.005,0.27,-0.001,-0.03,0.03,0.00,3
163,Entry long,2025-11-07 06:00,EURAUD_1100_LONG,1.7821,1,1.7821,0.005,0.27,0,0.005,0.27,-0.001,-0.03,0.03,0.00,3
164,Exit long,2025-11-14 09:00,TP_OR_SL,1.78226,1,1.78495,-0.003,-0.15,0,0.002,0.11,-0.003,-0.15,0.03,0.00,3
164,Entry long,2025-11-14 06:00,EURAUD_1100_LONG,1.78495,1,1.78495,-0.003,-0.15,0,0.002,0.11,-0.003,-0.15,0.03,0.00,3
165,Exit long,2025-11-17 09:00,TIME_EXIT,1.77912,1,1.78,-0.001,-0.05,0,0.002,0.10,-0.002,-0.10,0.03,0.00,3
165,Entry long,2025-11-17 06:00,EURAUD_1100_LONG,1.78,1,1.78,-0.001,-0.05,0,0.002,0.10,-0.002,-0.10,0.03,0.00,3
166,Exit long,2025-11-21 08:00,TP_OR_SL,1.78626,1,1.78916,-0.003,-0.16,0,0.002,0.10,-0.003,-0.16,0.03,0.00,2
166,Entry long,2025-11-21 06:00,EURAUD_1100_LONG,1.78916,1,1.78916,-0.003,-0.16,0,0.002,0.10,-0.003,-0.16,0.03,0.00,2
167,Exit long,2025-11-24 08:00,TP_OR_SL,1.78722,1,1.7898,-0.003,-0.14,0,0.001,0.06,-0.003,-0.14,0.03,0.00,2
167,Entry long,2025-11-24 06:00,EURAUD_1100_LONG,1.7898,1,1.7898,-0.003,-0.14,0,0.001,0.06,-0.003,-0.14,0.03,0.00,2
168,Exit long,2025-11-25 09:00,TP_OR_SL,1.79152,1,1.78743,0.004,0.23,0,0.004,0.23,-0.001,-0.06,0.03,0.00,3
168,Entry long,2025-11-25 06:00,EURAUD_1100_LONG,1.78743,1,1.78743,0.004,0.23,0,0.004,0.23,-0.001,-0.06,0.03,0.00,3
169,Exit long,2025-12-15 09:00,TIME_EXIT,1.76951,1,1.76671,0.003,0.16,0,0.003,0.16,-0.001,-0.05,0.03,0.00,3
