Trade number,Type,Date and time,Signal,Price JPY,Size (qty),Size (value),Net PnL JPY,Return %,Commission JPY,Favorable excursion JPY,Favorable excursion %,Adverse excursion JPY,Adverse excursion %,Cumulative PnL JPY,Cumulative PnL %,Duration (bars)
40,Entry long,2024-10-01 08:00,CADJPY_1200_LONG,106.512,1,106.512,-0.25,-0.23,0,0.06,0.05,-0.25,-0.23,2.17,0.02,1
41,Exit long,2024-10-02 10:00,TP_OR_SL,108.348,1,107.747,0.6,0.56,0,0.6,0.56,-0.04,-0.04,2.77,0.03,2
41,Entry long,2024-10-02 08:00,CADJPY_1200_LONG,107.747,1,107.747,0.6,0.56,0,0.6,0.56,-0.04,-0.04,2.77,0.03,2
42,Exit long,2024-10-04 11:00,TIME_EXIT,109.514,1,109.45,0.06,0.06,0,0.11,0.10,-0.23,-0.21,2.84,0.03,3
42,Entry long,2024-10-04 08:00,CADJPY_1200_LONG,109.45,1,109.45,0.06,0.06,0,0.11,0.10,-0.23,-0.21,2.84,0.03,3
43,Exit long,2024-10-09 11:00,TIME_EXIT,109.022,1,108.83,0.19,0.18,0,0.26,0.24,-0.09,-0.08,3.03,0.03,3
43,Entry long,2024-10-09 08:00,CADJPY_1200_LONG,108.83,1,108.83,0.19,0.18,0,0.26,0.24,-0.09,-0.08,3.03,0.03,3
44,Exit long,2024-10-16 11:00,TIME_EXIT,108.71,1,108.46,0.25,0.23,0,0.27,0.25,-0.1,-0.09,3.28,0.03,3
44,Entry long,2024-10-16 08:00,CADJPY_1200_LONG,108.46,1,108.46,0.25,0.23,0,0.27,0.25,-0.1,-0.09,3.28,0.03,3
45,Exit long,2024-11-05 08:00,TP_OR_SL,109.567,1,109.707,-0.14,-0.13,0,0.02,0.02,-0.14,-0.13,3.14,0.03,1
45,Entry long,2024-11-05 07:00,CADJPY_1200_LONG,109.707,1,109.707,-0.14,-0.13,0,0.02,0.02,-0.14,-0.13,3.14,0.03,1
46,Exit long,2024-11-12 08:00,TP_OR_SL,110.829,1,110.532,0.3,0.27,0,0.3,0.27,-0.01,-0.01,3.44,0.03,1
46,Entry long,2024-11-12 07:00,CADJPY_1200_LONG,110.532,1,110.532,0.3,0.27,0,0.3,0.27,-0.01,-0.01,3.44,0.03,1
47,Exit long,2024-12-04 08:00,TP_OR_SL,107.256,1,107.482,-0.23,-0.21,0,0.03,0.03,-0.23,-0.21,3.21,0.03,1
47,Entry long,2024-12-04 07:00,CADJPY_1200_LONG,107.482,1,107.482,-0.23,-0.21,0,0.03,0.03,-0.23,-0.21,3.21,0.03,1
48,Exit long,2024-12-05 10:00,TIME_EXIT,107.066,1,107.018,0.05,0.04,0,0.43,0.40,-0.08,-0.08,3.26,0.03,3
48,Entry long,2024-12-05 07:00,CADJPY_1200_LONG,107.018,1,107.018,0.05,0.04,0,0.43,0.40,-0.08,-0.08,3.26,0.03,3
49,Exit long,2024-12-19 10:00,TP_OR_SL,109.766,1,109.186,0.58,0.53,0,0.58,0.53,-0.27,-0.25,3.84,0.04,3
49,Entry long,2024-12-19 07:00,CADJPY_1200_LONG,109.186,1,109.186,0.58,0.53,0,0.58,0.53,-0.27,-0.25,3.84,0.04,3
50,Exit long,2024-12-23 09:00,TP_OR_SL,108.924,1,109.094,-0.17,-0.16,0,0.03,0.02,-0.17,-0.16,3.67,0.04,2
50,Entry long,2024-12-23 07:00,CADJPY_1200_LONG,109.094,1,109.094,-0.17,-0.16,0,0.03,0.02,-0.17,-0.16,3.67,0.04,2
51,Exit long,2024-12-27 08:00,TP_OR_SL,109.627,1,109.762,-0.13,-0.12,0,0.05,0.05,-0.13,-0.12,3.53,0.04,1
51,Entry long,2024-12-27 07:00,CADJPY_1200_LONG,109.762,1,109.762,-0.13,-0.12,0,0.05,0.05,-0.13,-0.12,3.53,0.04,1
52,Exit long,2025-01-24 10:00,TP_OR_SL,108.822,1,109.09,-0.27,-0.25,0,0.16,0.15,-0.27,-0.25,3.27,0.03,3
52,Entry long,2025-01-24 07:00,CADJPY_1200_LONG,109.09,1,109.09,-0.27,-0.25,0,0.16,0.15,-0.27,-0.25,3.27,0.03,3
53,Exit long,2025-03-12 09:00,TP_OR_SL,103.281,1,103.588,-0.31,-0.30,0,0.02,0.02,-0.31,-0.30,2.96,0.03,1
53,Entry long,2025-03-12 08:00,CADJPY_1200_LONG,103.588,1,103.588,-0.31,-0.30,0,0.02,0.02,-0.31,-0.30,2.96,0.03,1
54,Exit long,2025-03-17 11:00,TIME_EXIT,103.896,1,103.786,0.11,0.11,0,0.42,0.41,-0.09,-0.08,3.07,0.03,3
54,Entry long,2025-03-17 08:00,CADJPY_1200_LONG,103.786,1,103.786,0.11,0.11,0,0.42,0.41,-0.09,-0.08,3.07,0.03,3
55,Exit long,2025-04-14 11:00,TP_OR_SL,103.142,1,103.496,-0.35,-0.34,0,0.18,0.17,-0.35,-0.34,2.71,0.03,3
55,Entry long,2025-04-14 08:00,CADJPY_1200_LONG,103.496,1,103.496,-0.35,-0.34,0,0.18,0.17,-0.35,-0.34,2.71,0.03,3
56,Exit long,2025-05-01 10:00,TP_OR_SL,105.177,1,104.737,0.44,0.42,0,0.44,0.42,-0.09,-0.08,3.15,0.03,2
56,Entry long,2025-05-01 08:00,CADJPY_1200_LONG,104.737,1,104.737,0.44,0.42,0,0.44,0.42,-0.09,-0.08,3.15,0.03,2
57,Exit long,2025-06-06 11:00,TIME_EXIT,105.864,1,105.714,0.15,0.14,0,0.3,0.28,-0.05,-0.04,3.3,0.03,3
57,Entry long,2025-06-06 08:00,CADJPY_1200_LONG,105.714,1,105.714,0.15,0.14,0,0.3,0.28,-0.05,-0.04,3.3,0.03,3
58,Exit long,2025-07-03 10:00,TP_OR_SL,106.846,1,106.49,0.36,0.33,0,0.36,0.33,-0.04,-0.04,3.66,0.04,2
58,Entry long,2025-07-03 08:00,CADJPY_1200_LONG,106.49,1,106.49,0.36,0.33,0,0.36,0.33,-0.04,-0.04,3.66,0.04,2
59,Exit long,2025-07-07 11:00,TIME_EXIT,106.9,1,106.683,0.22,0.20,0,0.25,0.23,-0.02,-0.02,3.88,0.04,3
59,Entry long,2025-07-07 08:00,CADJPY_1200_LONG,106.683,1,106.683,0.22,0.20,0,0.25,0.23,-0.02,-0.02,3.88,0.04,3
60,Exit long,2025-07-31 11:00,TIME_EXIT,108.778,1,108.577,0.2,0.19,0,0.33,0.30,-0.01,-0.01,4.08,0.04,3
60,Entry long,2025-07-31 08:00,CADJPY_1200_LONG,108.577,1,108.577,0.2,0.19,0,0.33,0.30,-0.01,-0.01,4.08,0.04,3
61,Exit long,2025-09-03 10:00,TP_OR_SL,107.643,1,107.788,-0.14,-0.13,0,0.04,0.04,-0.14,-0.13,3.93,0.04,2
61,Entry long,2025-09-03 08:00,CADJPY_1200_LONG,107.788,1,107.788,-0.14,-0.13,0,0.04,0.04,-0.14,-0.13,3.93,0.04,2
62,Exit long,2025-09-18 11:00,TIME_EXIT,107.304,1,107.218,0.09,0.08,0,0.2,0.18,-0.05,-0.05,4.02,0.04,3
62,Entry long,2025-09-18 08:00,CADJPY_1200_LONG,107.218,1,107.218,0.09,0.08,0,0.2,0.18,-0.05,-0.05,4.02,0.04,3
63,Exit long,2025-09-25 09:00,TP_OR_SL,107.226,1,107.338,-0.11,-0.10,0,0.06,0.06,-0.11,-0.10,3.91,0.04,1
63,Entry long,2025-09-25 08:00,CADJPY_1200_LONG,107.338,1,107.338,-0.11,-0.10,0,0.06,0.06,-0.11,-0.10,3.91,0.04,1
64,Exit long,2025-11-12 10:00,TIME_EXIT,110.561,1,110.519,0.04,0.04,0,0.08,0.07,-0.06,-0.06,3.95,0.04,3
64,Entry long,2025-11-12 07:00,CADJPY_1200_LONG,110.519,1,110.519,0.04,0.04,0,0.08,0.07,-0.06,-0.06,3.95,0.04,3
65,Exit long,2025-11-20 08:00,TP_OR_SL,111.975,1,112.14,-0.16,-0.15,0,0.13,0.11,-0.16,-0.15,3.78,0.04,1
65,Entry long,2025-11-20 07:00,CADJPY_1200_LONG,112.14,1,112.14,-0.16,-0.15,0,0.13,0.11,-0.16,-0.15,3.78,0.04,1
66,Exit long,2025-12-09 09:00,TP_OR_SL,113.176,1,112.914,0.26,0.23,0,0.26,0.23,-0.02,-0.02,4.05,0.04,2
66,Entry long,2025-12-09 07:00,CADJPY_1200_LONG,112.914,1,112.914,0.26,0.23,0,0.26,0.23,-0.02,-0.02,4.05,0.04,2
67,Exit long,2025-12-31 09:00,TP_OR_SL,114.572,1,114.379,0.19,0.17,0,0.19,0.17,0,0.00,4.24,0.04,2
67,Entry long,2025-12-31 07:00,CADJPY_1200_LONG,114.379,1,114.379,0.19,0.17,0,0.19,0.17,0,0.00,4.24,0.04,2
68,Exit long,2026-01-21 09:00,TP_OR_SL,114.66,1,114.384,0.28,0.24,0,0.28,0.24,-0.03,-0.03,4.51,0.05,2
68,Entry long,2026-01-21 07:00,CADJPY_1200_LONG,114.384,1,114.384,0.28,0.24,0,0.28,0.24,-0.03,-0.03,4.51,0.05,2
69,Exit long,2026-01-22 09:00,TP_OR_SL,114.837,1,114.97,-0.13,-0.12,0,0.04,0.03,-0.13,-0.12,4.38,0.04,2
