Trade number,Type,Date and time,Signal,Price JPY,Size (qty),Size (value),Net PnL JPY,Return %,Commission JPY,Favorable excursion JPY,Favorable excursion %,Adverse excursion JPY,Adverse excursion %,Cumulative PnL JPY,Cumulative PnL %,Duration (bars)
18,Exit long,2023-06-05 04:00,TP_OR_SL,149.911,1,150.078,-0.17,-0.11,0,0.12,0.08,-0.17,-0.11,0.56,0.01,2
18,Entry long,2023-06-05 02:00,EURJPY_0600_LONG,150.078,1,150.078,-0.17,-0.11,0,0.12,0.08,-0.17,-0.11,0.56,0.01,2
19,Exit long,2023-06-13 05:00,TIME_EXIT,150.787,1,150.692,0.1,0.06,0,0.16,0.11,-0.13,-0.09,0.65,0.01,3
19,Entry long,2023-06-13 02:00,EURJPY_0600_LONG,150.692,1,150.692,0.1,0.06,0,0.16,0.11,-0.13,-0.09,0.65,0.01,3
20,Exit long,2023-06-16 05:00,TIME_EXIT,154.34,1,154.33,0.01,0.01,0,0.39,0.25,-0.24,-0.15,0.66,0.01,3
20,Entry long,2023-06-16 02:00,EURJPY_0600_LONG,154.33,1,154.33,0.01,0.01,0,0.39,0.25,-0.24,-0.15,0.66,0.01,3
21,Exit long,2023-06-21 04:00,TP_OR_SL,155.314,1,154.897,0.42,0.27,0,0.42,0.27,-0.05,-0.03,1.08,0.01,2
21,Entry long,2023-06-21 02:00,EURJPY_0600_LONG,154.897,1,154.897,0.42,0.27,0,0.42,0.27,-0.05,-0.03,1.08,0.01,2
22,Exit long,2023-07-14 05:00,TIME_EXIT,155.527,1,155.1,0.43,0.28,0,0.48,0.31,-0.07,-0.05,1.5,0.02,3
22,Entry long,2023-07-14 02:00,EURJPY_0600_LONG,155.1,1,155.1,0.43,0.28,0,0.48,0.31,-0.07,-0.05,1.5,0.02,3
23,Exit long,2023-07-21 03:00,TP_OR_SL,156.735,1,156.298,0.44,0.28,0,0.44,0.28,-0.14,-0.09,1.94,0.02,1
23,Entry long,2023-07-21 02:00,EURJPY_0600_LONG,156.298,1,156.298,0.44,0.28,0,0.44,0.28,-0.14,-0.09,1.94,0.02,1
24,Exit long,2023-07-25 03:00,TP_OR_SL,156.57,1,156.776,-0.21,-0.13,0,0.12,0.07,-0.21,-0.13,1.74,0.02,1
24,Entry long,2023-07-25 02:00,EURJPY_0600_LONG,156.776,1,156.776,-0.21,-0.13,0,0.12,0.07,-0.21,-0.13,1.74,0.02,1
