timestamp,balance,equity,seqId,stake,drawdownPct
2024-08-01T00:53:00.000Z,99,99,1,1,0.01
2024-08-01T01:53:00.000Z,100.8,100.8,1,2.25,0
2024-08-01T02:33:00.000Z,99.79,99.79,2,1.01,0.010020000000000001
2024-08-01T02:46:00.000Z,97.51,97.51,2,2.28,0.032639
2024-08-01T03:04:00.000Z,92.39,92.39,2,5.12,0.08343300000000001
2024-08-01T03:22:00.000Z,80.86,80.86,2,11.53,0.19781700000000002
2024-08-01T04:09:00.000Z,101.61,101.61,2,25.94,0
2024-08-01T04:16:00.000Z,100.59,100.59,3,1.02,0.010038
2024-08-01T05:58:00.000Z,102.43,102.43,3,2.3,0
2024-08-01T06:22:00.000Z,103.25,103.25,4,1.02,0
2024-08-01T06:27:00.000Z,102.22,102.22,5,1.03,0.009976
2024-08-01T06:55:00.000Z,99.91,99.91,5,2.31,0.032349
2024-08-01T07:20:00.000Z,94.71,94.71,5,5.2,0.082712
2024-08-01T07:41:00.000Z,83.01,83.01,5,11.7,0.196029
2024-08-01T07:55:00.000Z,56.69,56.69,5,26.32,0.45094399999999996
