Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
19,Entry short,2025-05-12 06:30,GBPUSD_1030_SHORT,1.31414,1,1.31414,-0.002,-0.16,0,0.0001,0.00,-0.002,-0.16,0.003,0.00,1
20,Exit short,2025-06-03 09:00,TP_OR_SL,1.35075,1,1.34956,-0.001,-0.09,0,0.0004,0.03,-0.001,-0.09,0.002,0.00,4
20,Entry short,2025-06-03 07:00,GBPUSD_1100_SHORT,1.34956,1,1.34956,-0.001,-0.09,0,0.0004,0.03,-0.001,-0.09,0.002,0.00,4
21,Exit long,2025-06-12 09:00,TP_OR_SL,1.36212,1,1.35896,0.003,0.23,0,0.003,0.23,-0.001,-0.08,0.01,0.00,5
21,Entry long,2025-06-12 06:30,GBPUSD_1030_LONG,1.35896,1,1.35896,0.003,0.23,0,0.003,0.23,-0.001,-0.08,0.01,0.00,5
22,Exit short,2025-07-08 09:00,TP_OR_SL,1.35537,1,1.35773,0.002,0.17,0,0.002,0.17,-0.001,-0.06,0.01,0.00,5
22,Entry short,2025-07-08 06:30,GBPUSD_1030_SHORT,1.35773,1,1.35773,0.002,0.17,0,0.002,0.17,-0.001,-0.06,0.01,0.00,5
23,Exit short,2025-07-11 09:30,TP_OR_SL,1.34927,1,1.3519,0.003,0.19,0,0.003,0.19,-0.0003,-0.02,0.01,0.00,5
23,Entry short,2025-07-11 07:00,GBPUSD_1100_SHORT,1.3519,1,1.3519,0.003,0.19,0,0.003,0.19,-0.0003,-0.02,0.01,0.00,5
24,Exit long,2025-07-18 08:00,TP_OR_SL,1.34688,1,1.34519,0.002,0.13,0,0.002,0.13,-0.0002,-0.01,0.01,0.00,3
24,Entry long,2025-07-18 06:30,GBPUSD_1030_LONG,1.34519,1,1.34519,0.002,0.13,0,0.002,0.13,-0.0002,-0.01,0.01,0.00,3
25,Exit long,2025-07-18 08:00,TP_OR_SL,1.34708,1,1.34542,0.002,0.12,0,0.002,0.12,-0.0001,-0.01,0.01,0.00,2
25,Entry long,2025-07-18 07:00,GBPUSD_1100_LONG,1.34542,1,1.34542,0.002,0.12,0,0.002,0.12,-0.0001,-0.01,0.01,0.00,2
26,Exit short,2025-07-25 07:30,TP_OR_SL,1.34529,1,1.34413,-0.001,-0.09,0,0.0001,0.01,-0.001,-0.09,0.01,0.00,1
26,Entry short,2025-07-25 07:00,GBPUSD_1100_SHORT,1.34413,1,1.34413,-0.001,-0.09,0,0.0001,0.01,-0.001,-0.09,0.01,0.00,1
27,Exit long,2025-08-06 07:30,TP_OR_SL,1.33169,1,1.33174,-0.00005,0.00,0,0.001,0.10,-0.001,-0.04,0.01,0.00,2
27,Entry long,2025-08-06 06:30,GBPUSD_1030_LONG,1.33174,1,1.33174,-0.00005,0.00,0,0.001,0.10,-0.001,-0.04,0.01,0.00,2
28,Exit long,2025-08-06 09:30,TIME_EXIT,1.33258,1,1.33279,-0.0002,-0.02,0,0.0002,0.02,-0.002,-0.15,0.01,0.00,5
28,Entry long,2025-08-06 07:00,GBPUSD_1100_LONG,1.33279,1,1.33279,-0.0002,-0.02,0,0.0002,0.02,-0.002,-0.15,0.01,0.00,5
29,Exit long,2025-08-07 07:30,TP_OR_SL,1.3397,1,1.34094,-0.001,-0.09,0,0.001,0.05,-0.001,-0.09,0.01,0.00,1
29,Entry long,2025-08-07 07:00,GBPUSD_1100_LONG,1.34094,1,1.34094,-0.001,-0.09,0,0.001,0.05,-0.001,-0.09,0.01,0.00,1
30,Exit short,2025-08-27 07:00,TP_OR_SL,1.3432,1,1.34223,-0.001,-0.07,0,0.001,0.04,-0.001,-0.07,0.01,0.00,1
30,Entry short,2025-08-27 06:30,GBPUSD_1030_SHORT,1.34223,1,1.34223,-0.001,-0.07,0,0.001,0.04,-0.001,-0.07,0.01,0.00,1
31,Exit long,2025-08-28 08:00,TP_OR_SL,1.35118,1,1.35214,-0.001,-0.07,0,0.0003,0.03,-0.001,-0.07,0.01,0.00,3
31,Entry long,2025-08-28 06:30,GBPUSD_1030_LONG,1.35214,1,1.35214,-0.001,-0.07,0,0.0003,0.03,-0.001,-0.07,0.01,0.00,3
32,Exit long,2025-09-08 09:30,TP_OR_SL,1.35511,1,1.35304,0.002,0.15,0,0.002,0.15,-0.001,-0.06,0.01,0.00,6
32,Entry long,2025-09-08 06:30,GBPUSD_1030_LONG,1.35304,1,1.35304,0.002,0.15,0,0.002,0.15,-0.001,-0.06,0.01,0.00,6
33,Exit long,2025-09-15 09:30,TP_OR_SL,1.36026,1,1.36142,-0.001,-0.09,0,0.001,0.04,-0.001,-0.09,0.01,0.00,5
33,Entry long,2025-09-15 07:00,GBPUSD_1100_LONG,1.36142,1,1.36142,-0.001,-0.09,0,0.001,0.04,-0.001,-0.09,0.01,0.00,5
34,Exit short,2025-09-24 08:30,TP_OR_SL,1.34459,1,1.34644,0.002,0.14,0,0.002,0.14,-0.001,-0.05,0.01,0.00,4
34,Entry short,2025-09-24 06:30,GBPUSD_1030_SHORT,1.34644,1,1.34644,0.002,0.14,0,0.002,0.14,-0.001,-0.05,0.01,0.00,4
35,Exit short,2025-09-24 08:30,TP_OR_SL,1.34448,1,1.34632,0.002,0.14,0,0.002,0.14,-0.001,-0.06,0.01,0.00,3
35,Entry short,2025-09-24 07:00,GBPUSD_1100_SHORT,1.34632,1,1.34632,0.002,0.14,0,0.002,0.14,-0.001,-0.06,0.01,0.00,3
36,Exit short,2025-09-25 08:00,TP_OR_SL,1.34137,1,1.34329,0.002,0.14,0,0.002,0.14,-0.0001,-0.01,0.02,0.00,2
36,Entry short,2025-09-25 07:00,GBPUSD_1100_SHORT,1.34329,1,1.34329,0.002,0.14,0,0.002,0.14,-0.0001,-0.01,0.02,0.00,2
37,Exit long,2025-10-01 08:00,TP_OR_SL,1.34733,1,1.34847,-0.001,-0.08,0,0.0004,0.03,-0.001,-0.08,0.01,0.00,2
37,Entry long,2025-10-01 07:00,GBPUSD_1100_LONG,1.34847,1,1.34847,-0.001,-0.08,0,0.0004,0.03,-0.001,-0.08,0.01,0.00,2
38,Exit short,2025-10-07 07:00,TP_OR_SL,1.34066,1,1.3426,0.002,0.14,0,0.002,0.14,-0.0002,-0.02,0.02,0.00,1
38,Entry short,2025-10-07 06:30,GBPUSD_1030_SHORT,1.3426,1,1.3426,0.002,0.14,0,0.002,0.14,-0.0002,-0.02,0.02,0.00,1
39,Exit short,2025-10-07 09:00,TP_OR_SL,1.34162,1,1.34055,-0.001,-0.08,0,0.001,0.10,-0.001,-0.08,0.02,0.00,4
39,Entry short,2025-10-07 07:00,GBPUSD_1100_SHORT,1.34055,1,1.34055,-0.001,-0.08,0,0.001,0.10,-0.001,-0.08,0.02,0.00,4
40,Exit short,2025-10-10 07:00,TP_OR_SL,1.32751,1,1.32622,-0.001,-0.10,0,0.00002,0.00,-0.001,-0.10,0.01,0.00,1
40,Entry short,2025-10-10 06:30,GBPUSD_1030_SHORT,1.32622,1,1.32622,-0.001,-0.10,0,0.00002,0.00,-0.001,-0.10,0.01,0.00,1
41,Exit short,2025-10-23 08:30,TP_OR_SL,1.33453,1,1.33371,-0.001,-0.06,0,0.001,0.08,-0.001,-0.06,0.01,0.00,4
41,Entry short,2025-10-23 06:30,GBPUSD_1030_SHORT,1.33371,1,1.33371,-0.001,-0.06,0,0.001,0.08,-0.001,-0.06,0.01,0.00,4
42,Exit short,2025-10-30 07:30,TP_OR_SL,1.31896,1,1.31766,-0.001,-0.10,0,0.0002,0.02,-0.001,-0.10,0.01,0.00,2
42,Entry short,2025-10-30 06:30,GBPUSD_1030_SHORT,1.31766,1,1.31766,-0.001,-0.10,0,0.0002,0.02,-0.001,-0.10,0.01,0.00,2
43,Exit short,2025-11-19 06:00,TP_OR_SL,1.31173,1,1.31052,-0.001,-0.09,0,0.0002,0.01,-0.001,-0.09,0.01,0.00,1
43,Entry short,2025-11-19 05:30,GBPUSD_1030_SHORT,1.31052,1,1.31052,-0.001,-0.09,0,0.0002,0.01,-0.001,-0.09,0.01,0.00,1
44,Exit long,2025-12-03 08:00,TP_OR_SL,1.33132,1,1.3293,0.002,0.15,0,0.002,0.15,-0.001,-0.05,0.01,0.00,4
44,Entry long,2025-12-03 06:00,GBPUSD_1100_LONG,1.3293,1,1.3293,0.002,0.15,0,0.002,0.15,-0.001,-0.05,0.01,0.00,4
45,Exit long,2025-12-11 08:30,TP_OR_SL,1.34035,1,1.33831,0.002,0.15,0,0.002,0.15,-0.001,-0.05,0.01,0.00,5
45,Entry long,2025-12-11 06:00,GBPUSD_1100_LONG,1.33831,1,1.33831,0.002,0.15,0,0.002,0.15,-0.001,-0.05,0.01,0.00,5
46,Exit long,2025-12-16 06:00,TP_OR_SL,1.34126,1,1.34232,-0.001,-0.08,0,0,0.00,-0.001,-0.08,0.01,0.00,1
46,Entry long,2025-12-16 05:30,GBPUSD_1030_LONG,1.34232,1,1.34232,-0.001,-0.08,0,0,0.00,-0.001,-0.08,0.01,0.00,1
47,Exit short,2026-01-02 07:00,TP_OR_SL,1.34461,1,1.34366,-0.001,-0.07,0,0.0002,0.01,-0.001,-0.07,0.01,0.00,2
47,Entry short,2026-01-02 06:00,GBPUSD_1100_SHORT,1.34366,1,1.34366,-0.001,-0.07,0,0.0002,0.01,-0.001,-0.07,0.01,0.00,2
48,Exit long,2026-01-12 06:30,TP_OR_SL,1.34597,1,1.34713,-0.001,-0.09,0,0.0004,0.03,-0.001,-0.09,0.01,0.00,2
48,Entry long,2026-01-12 05:30,GBPUSD_1030_LONG,1.34713,1,1.34713,-0.001,-0.09,0,0.0004,0.03,-0.001,-0.09,0.01,0.00,2
49,Exit short,2026-01-15 07:30,TP_OR_SL,1.34028,1,1.34204,0.002,0.13,0,0.002,0.13,-0.001,-0.06,0.01,0.00,4
49,Entry short,2026-01-15 05:30,GBPUSD_1030_SHORT,1.34204,1,1.34204,0.002,0.13,0,0.002,0.13,-0.001,-0.06,0.01,0.00,4
50,Exit long,2026-01-27 07:00,TP_OR_SL,1.37263,1,1.37032,0.002,0.17,0,0.002,0.17,-0.0002,-0.02,0.02,0.00,3
50,Entry long,2026-01-27 05:30,GBPUSD_1030_LONG,1.37032,1,1.37032,0.002,0.17,0,0.002,0.17,-0.0002,-0.02,0.02,0.00,3
51,Exit long,2026-01-27 07:00,TP_OR_SL,1.37291,1,1.37068,0.002,0.16,0,0.002,0.16,-0.001,-0.04,0.02,0.00,2
51,Entry long,2026-01-27 06:00,GBPUSD_1100_LONG,1.37068,1,1.37068,0.002,0.16,0,0.002,0.16,-0.001,-0.04,0.02,0.00,2
52,Exit short,2026-02-03 07:30,TP_OR_SL,1.36675,1,1.36555,-0.001,-0.09,0,0.0005,0.04,-0.001,-0.09,0.02,0.00,4
52,Entry short,2026-02-03 05:30,GBPUSD_1030_SHORT,1.36555,1,1.36555,-0.001,-0.09,0,0.0005,0.04,-0.001,-0.09,0.02,0.00,4
53,Exit long,2026-02-11 06:30,TP_OR_SL,1.36959,1,1.37066,-0.001,-0.08,0,0.00002,0.00,-0.001,-0.08,0.02,0.00,2
53,Entry long,2026-02-11 05:30,GBPUSD_1030_LONG,1.37066,1,1.37066,-0.001,-0.08,0,0.00002,0.00,-0.001,-0.08,0.02,0.00,2
54,Exit short,2026-02-19 08:00,TP_OR_SL,1.34537,1,1.34739,0.002,0.15,0,0.002,0.15,-0.0001,-0.01,0.02,0.00,4
54,Entry short,2026-02-19 06:00,GBPUSD_1100_SHORT,1.34739,1,1.34739,0.002,0.15,0,0.002,0.15,-0.0001,-0.01,0.02,0.00,4
55,Exit short,2026-03-03 06:30,TP_OR_SL,1.32893,1,1.32708,-0.002,-0.14,0,0.00002,0.00,-0.002,-0.14,0.02,0.00,1
55,Entry short,2026-03-03 06:00,GBPUSD_1100_SHORT,1.32708,1,1.32708,-0.002,-0.14,0,0.00002,0.00,-0.002,-0.14,0.02,0.00,1
56,Exit short,2026-03-27 08:00,TP_OR_SL,1.32801,1,1.3302,0.002,0.16,0,0.002,0.16,-0.0003,-0.02,0.02,0.00,3
56,Entry short,2026-03-27 06:30,GBPUSD_1030_SHORT,1.3302,1,1.3302,0.002,0.16,0,0.002,0.16,-0.0003,-0.02,0.02,0.00,3
57,Exit short,2026-04-02 07:30,TP_OR_SL,1.32001,1,1.31862,-0.001,-0.11,0,0.0004,0.03,-0.001,-0.11,0.02,0.00,2
57,Entry short,2026-04-02 06:30,GBPUSD_1030_SHORT,1.31862,1,1.31862,-0.001,-0.11,0,0.0004,0.03,-0.001,-0.11,0.02,0.00,2
