Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
17,Entry long,2023-05-02 07:00,AUDUSD_HL_BODY_EXTREME,0.67011,1,0.67011,-0.001,-0.21,0,0,0.00,-0.001,-0.21,0.01,0.00,1
18,Exit long,2023-05-04 09:00,TP_OR_SL,0.66642,1,0.6679,-0.001,-0.22,0,0.0002,0.03,-0.001,-0.22,0.01,0.00,2
18,Entry long,2023-05-04 07:00,AUDUSD_HL_BASE,0.6679,1,0.6679,-0.001,-0.22,0,0.0002,0.03,-0.001,-0.22,0.01,0.00,2
19,Exit long,2023-05-15 10:00,TP_OR_SL,0.66789,1,0.66896,-0.001,-0.16,0,0.0003,0.04,-0.001,-0.16,0.01,0.00,3
19,Entry long,2023-05-15 07:00,AUDUSD_HL_BASE,0.66896,1,0.66896,-0.001,-0.16,0,0.0003,0.04,-0.001,-0.16,0.01,0.00,3
20,Exit long,2023-05-26 08:00,TP_OR_SL,0.65313,1,0.65414,-0.001,-0.15,0,0.0002,0.03,-0.001,-0.15,0.01,0.00,1
20,Entry long,2023-05-26 07:00,AUDUSD_HL_BASE,0.65414,1,0.65414,-0.001,-0.15,0,0.0002,0.03,-0.001,-0.15,0.01,0.00,1
21,Exit long,2023-06-01 08:00,TP_OR_SL,0.65119,1,0.65246,-0.001,-0.19,0,0.001,0.09,-0.001,-0.19,0.01,0.00,1
21,Entry long,2023-06-01 07:00,AUDUSD_HL_BASE,0.65246,1,0.65246,-0.001,-0.19,0,0.001,0.09,-0.001,-0.19,0.01,0.00,1
22,Exit long,2023-06-06 08:00,TP_OR_SL,0.6648,1,0.66622,-0.001,-0.21,0,0.0003,0.04,-0.001,-0.21,0.005,0.00,1
22,Entry long,2023-06-06 07:00,AUDUSD_HL_BASE,0.66622,1,0.66622,-0.001,-0.21,0,0.0003,0.04,-0.001,-0.21,0.005,0.00,1
23,Exit long,2023-06-07 10:00,TP_OR_SL,0.6685,1,0.66974,-0.001,-0.19,0,0.002,0.30,-0.001,-0.19,0.004,0.00,3
23,Entry long,2023-06-07 07:00,AUDUSD_HL_BASE,0.66974,1,0.66974,-0.001,-0.19,0,0.002,0.30,-0.001,-0.19,0.004,0.00,3
24,Exit long,2023-06-09 10:00,TP_OR_SL,0.67489,1,0.67272,0.002,0.32,0,0.002,0.32,-0.0001,-0.02,0.01,0.00,3
24,Entry long,2023-06-09 07:00,AUDUSD_HL_BODY_EXTREME,0.67272,1,0.67272,0.002,0.32,0,0.002,0.32,-0.0001,-0.02,0.01,0.00,3
25,Exit long,2023-06-13 08:00,TP_OR_SL,0.67676,1,0.67784,-0.001,-0.16,0,0,0.00,-0.001,-0.16,0.005,0.00,1
25,Entry long,2023-06-13 07:00,AUDUSD_HL_BASE,0.67784,1,0.67784,-0.001,-0.16,0,0,0.00,-0.001,-0.16,0.005,0.00,1
26,Exit long,2023-06-14 09:00,TP_OR_SL,0.68118,1,0.67908,0.002,0.31,0,0.002,0.31,-0.0004,-0.05,0.01,0.00,2
26,Entry long,2023-06-14 07:00,AUDUSD_HL_BASE,0.67908,1,0.67908,0.002,0.31,0,0.002,0.31,-0.0004,-0.05,0.01,0.00,2
27,Exit long,2023-06-29 08:00,TP_OR_SL,0.66232,1,0.66352,-0.001,-0.18,0,0.0004,0.05,-0.001,-0.18,0.01,0.00,1
27,Entry long,2023-06-29 07:00,AUDUSD_HL_BASE,0.66352,1,0.66352,-0.001,-0.18,0,0.0004,0.05,-0.001,-0.18,0.01,0.00,1
28,Exit long,2023-07-06 08:00,TP_OR_SL,0.66736,1,0.66862,-0.001,-0.19,0,0.0001,0.01,-0.001,-0.19,0.004,0.00,1
28,Entry long,2023-07-06 07:00,AUDUSD_HL_BASE,0.66862,1,0.66862,-0.001,-0.19,0,0.0001,0.01,-0.001,-0.19,0.004,0.00,1
29,Exit long,2023-07-13 08:00,TP_OR_SL,0.68427,1,0.68573,-0.001,-0.21,0,0.001,0.19,-0.001,-0.21,0.003,0.00,1
29,Entry long,2023-07-13 07:00,AUDUSD_HL_BASE,0.68573,1,0.68573,-0.001,-0.21,0,0.001,0.19,-0.001,-0.21,0.003,0.00,1
30,Exit long,2023-07-24 08:00,TP_OR_SL,0.67315,1,0.67431,-0.001,-0.17,0,0.00001,0.00,-0.001,-0.17,0.002,0.00,1
30,Entry long,2023-07-24 07:00,AUDUSD_HL_BASE,0.67431,1,0.67431,-0.001,-0.17,0,0.00001,0.00,-0.001,-0.17,0.002,0.00,1
31,Exit long,2023-07-31 10:00,TP_OR_SL,0.67353,1,0.67087,0.003,0.40,0,0.003,0.40,-0.001,-0.08,0.004,0.00,3
