Trade number,Type,Date and time,Signal,Price JPY,Size (qty),Size (value),Net PnL JPY,Return %,Commission JPY,Favorable excursion JPY,Favorable excursion %,Adverse excursion JPY,Adverse excursion %,Cumulative PnL JPY,Cumulative PnL %,Duration (bars)
17,Entry long,2023-03-02 07:00,BODY_EXTREME_LONG,136.804,0.73,99.86692,-0.08,-0.08,0,0.22,0.22,-0.18,-0.18,1.36,0.01,3
18,Exit long,2023-03-27 10:00,TP_OR_SL,131.4,0.75,98.781,-0.23,-0.23,0,0.02,0.02,-0.23,-0.23,1.13,0.01,2
18,Entry long,2023-03-27 08:00,BODY_EXTREME_LONG,131.708,0.75,98.781,-0.23,-0.23,0,0.02,0.02,-0.23,-0.23,1.13,0.01,2
19,Exit long,2023-03-29 10:00,TIME_EXIT,132.484,0.75,99.1425,0.22,0.22,0,0.36,0.36,-0.02,-0.02,1.35,0.01,3
19,Entry long,2023-03-29 07:00,BODY_EXTREME_LONG,132.19,0.75,99.1425,0.22,0.22,0,0.36,0.36,-0.02,-0.02,1.35,0.01,3
20,Exit long,2023-04-07 11:00,TIME_EXIT,132.132,0.75,99.093,0.01,0.01,0,0.12,0.12,-0.08,-0.08,1.36,0.01,3
20,Entry long,2023-04-07 08:00,BODY_EXTREME_LONG,132.124,0.75,99.093,0.01,0.01,0,0.12,0.12,-0.08,-0.08,1.36,0.01,3
21,Exit long,2023-04-10 09:00,TP_OR_SL,133.355,0.75,99.6465,0.37,0.37,0,0.37,0.37,-0.01,-0.01,1.73,0.02,2
21,Entry long,2023-04-10 07:00,BODY_EXTREME_LONG,132.862,0.75,99.6465,0.37,0.37,0,0.37,0.37,-0.01,-0.01,1.73,0.02,2
22,Exit long,2023-04-11 10:00,TIME_EXIT,133.504,0.75,99.9495,0.18,0.18,0,0.19,0.19,-0.16,-0.16,1.91,0.02,3
22,Entry long,2023-04-11 07:00,BODY_EXTREME_LONG,133.266,0.75,99.9495,0.18,0.18,0,0.19,0.19,-0.16,-0.16,1.91,0.02,3
23,Exit long,2023-04-17 12:00,TIME_EXIT,134.457,0.74,99.39458,0.1,0.10,0,0.19,0.19,-0.04,-0.04,2.01,0.02,3
23,Entry long,2023-04-17 09:00,BODY_EXTREME_LONG,134.317,0.74,99.39458,0.1,0.10,0,0.19,0.19,-0.04,-0.04,2.01,0.02,3
24,Exit long,2023-05-01 13:00,TIME_EXIT,137.39,0.72,98.83872,0.08,0.08,0,0.15,0.15,0,0.00,2.09,0.02,3
24,Entry long,2023-05-01 10:00,BODY_EXTREME_LONG,137.276,0.72,98.83872,0.08,0.08,0,0.15,0.15,0,0.00,2.09,0.02,3
25,Exit long,2023-05-08 08:00,TP_OR_SL,135.004,0.73,98.69016,-0.14,-0.14,0,0.03,0.03,-0.14,-0.14,1.96,0.02,1
25,Entry long,2023-05-08 07:00,BODY_EXTREME_LONG,135.192,0.73,98.69016,-0.14,-0.14,0,0.03,0.03,-0.14,-0.14,1.96,0.02,1
26,Exit long,2023-05-09 10:00,TP_OR_SL,134.995,0.73,98.69016,-0.14,-0.15,0,0.12,0.12,-0.14,-0.15,1.81,0.02,2
26,Entry long,2023-05-09 08:00,BODY_EXTREME_LONG,135.192,0.73,98.69016,-0.14,-0.15,0,0.12,0.12,-0.14,-0.15,1.81,0.02,2
27,Exit long,2023-05-10 08:00,TP_OR_SL,135.161,0.73,98.77995,-0.11,-0.11,0,0.08,0.08,-0.11,-0.11,1.7,0.02,1
27,Entry long,2023-05-10 07:00,BODY_EXTREME_LONG,135.315,0.73,98.77995,-0.11,-0.11,0,0.08,0.08,-0.11,-0.11,1.7,0.02,1
28,Exit long,2023-05-12 09:00,TP_OR_SL,134.754,0.74,99.8482,-0.13,-0.13,0,0.09,0.09,-0.13,-0.13,1.57,0.02,2
28,Entry long,2023-05-12 07:00,BODY_EXTREME_LONG,134.93,0.74,99.8482,-0.13,-0.13,0,0.09,0.09,-0.13,-0.13,1.57,0.02,2
29,Exit long,2023-05-16 10:00,TP_OR_SL,136.457,0.73,99.35519,0.26,0.26,0,0.26,0.26,-0.03,-0.03,1.83,0.02,2
29,Entry long,2023-05-16 08:00,BODY_EXTREME_LONG,136.103,0.73,99.35519,0.26,0.26,0,0.26,0.26,-0.03,-0.03,1.83,0.02,2
30,Exit long,2023-05-17 12:00,TIME_EXIT,137.468,0.72,98.88912,0.09,0.09,0,0.16,0.17,-0.09,-0.09,1.92,0.02,3
30,Entry long,2023-05-17 09:00,BODY_EXTREME_LONG,137.346,0.72,98.88912,0.09,0.09,0,0.16,0.17,-0.09,-0.09,1.92,0.02,3
