Trade number,Type,Date and time,Signal,Price CHF,Size (qty),Size (value),Net PnL CHF,Return %,Commission CHF,Favorable excursion CHF,Favorable excursion %,Adverse excursion CHF,Adverse excursion %,Cumulative PnL CHF,Cumulative PnL %,Duration (bars)
17,Entry short,2023-10-09 07:00,USDCHF_1100_SHORT,0.90976,1,0.90976,0.003,0.33,0,0.003,0.33,-0.001,-0.07,0.01,0.00,3
18,Exit short,2023-10-16 10:00,TP_OR_SL,0.90322,1,0.90207,-0.001,-0.13,0,0.001,0.15,-0.001,-0.13,0.01,0.00,3
18,Entry short,2023-10-16 07:00,USDCHF_1100_SHORT,0.90207,1,0.90207,-0.001,-0.13,0,0.001,0.15,-0.001,-0.13,0.01,0.00,3
19,Exit short,2023-10-17 08:00,TP_OR_SL,0.90088,1,0.89986,-0.001,-0.11,0,0.0002,0.02,-0.001,-0.11,0.01,0.00,1
19,Entry short,2023-10-17 07:00,USDCHF_1100_SHORT,0.89986,1,0.89986,-0.001,-0.11,0,0.0002,0.02,-0.001,-0.11,0.01,0.00,1
20,Exit short,2023-10-19 10:00,TIME_EXIT,0.89674,1,0.89732,0.001,0.06,0,0.001,0.15,-0.0002,-0.02,0.01,0.00,3
20,Entry short,2023-10-19 07:00,USDCHF_1100_SHORT,0.89732,1,0.89732,0.001,0.06,0,0.001,0.15,-0.0002,-0.02,0.01,0.00,3
21,Exit short,2023-10-20 08:00,TP_OR_SL,0.89254,1,0.89124,-0.001,-0.15,0,0,0.00,-0.001,-0.15,0.01,0.00,1
21,Entry short,2023-10-20 07:00,USDCHF_1100_SHORT,0.89124,1,0.89124,-0.001,-0.15,0,0,0.00,-0.001,-0.15,0.01,0.00,1
22,Exit short,2023-11-15 08:00,TP_OR_SL,0.88556,1,0.88776,0.002,0.25,0,0.002,0.25,-0.001,-0.09,0.01,0.00,2
22,Entry short,2023-11-15 06:00,USDCHF_1100_SHORT,0.88776,1,0.88776,0.002,0.25,0,0.002,0.25,-0.001,-0.09,0.01,0.00,2
