Trade number,Type,Date and time,Signal,Price CHF,Size (qty),Size (value),Net PnL CHF,Return %,Commission CHF,Favorable excursion CHF,Favorable excursion %,Adverse excursion CHF,Adverse excursion %,Cumulative PnL CHF,Cumulative PnL %,Duration (bars)
84,Exit short,2025-11-11 08:00,TP_OR_SL,0.80008,1,0.8019,0.002,0.23,0,0.002,0.23,-0.0001,-0.02,0.03,0.00,2
84,Entry short,2025-11-11 06:00,USDCHF_1100_SHORT,0.8019,1,0.8019,0.002,0.23,0,0.002,0.23,-0.0001,-0.02,0.03,0.00,2
85,Exit short,2025-11-12 08:00,TP_OR_SL,0.79961,1,0.79882,-0.001,-0.10,0,0.0004,0.05,-0.001,-0.10,0.03,0.00,2
85,Entry short,2025-11-12 06:00,USDCHF_1100_SHORT,0.79882,1,0.79882,-0.001,-0.10,0,0.0004,0.05,-0.001,-0.10,0.03,0.00,2
86,Exit short,2025-11-14 07:00,TP_OR_SL,0.78947,1,0.79139,0.002,0.24,0,0.002,0.24,-0.0002,-0.02,0.03,0.00,1
86,Entry short,2025-11-14 06:00,USDCHF_1100_SHORT,0.79139,1,0.79139,0.002,0.24,0,0.002,0.24,-0.0002,-0.02,0.03,0.00,1
87,Exit short,2025-12-01 07:00,TP_OR_SL,0.80065,1,0.80242,0.002,0.22,0,0.002,0.22,-0.0002,-0.02,0.03,0.00,1
87,Entry short,2025-12-01 06:00,USDCHF_1100_SHORT,0.80242,1,0.80242,0.002,0.22,0,0.002,0.22,-0.0002,-0.02,0.03,0.00,1
88,Exit short,2025-12-03 09:00,TIME_EXIT,0.80051,1,0.80014,-0.0004,-0.05,0,0.001,0.09,-0.001,-0.08,0.03,0.00,3
88,Entry short,2025-12-03 06:00,USDCHF_1100_SHORT,0.80014,1,0.80014,-0.0004,-0.05,0,0.001,0.09,-0.001,-0.08,0.03,0.00,3
89,Exit short,2025-12-11 09:00,TP_OR_SL,0.79455,1,0.79644,0.002,0.24,0,0.002,0.24,-0.0003,-0.04,0.03,0.00,3
89,Entry short,2025-12-11 06:00,USDCHF_1100_SHORT,0.79644,1,0.79644,0.002,0.24,0,0.002,0.24,-0.0003,-0.04,0.03,0.00,3
90,Exit short,2025-12-22 09:00,TIME_EXIT,0.79233,1,0.79342,0.001,0.14,0,0.001,0.18,-0.0004,-0.05,0.03,0.00,3
90,Entry short,2025-12-22 06:00,USDCHF_1100_SHORT,0.79342,1,0.79342,0.001,0.14,0,0.001,0.18,-0.0004,-0.05,0.03,0.00,3
91,Exit short,2025-12-23 08:00,TP_OR_SL,0.78847,1,0.78767,-0.001,-0.10,0,0.001,0.13,-0.001,-0.10,0.03,0.00,2
91,Entry short,2025-12-23 06:00,USDCHF_1100_SHORT,0.78767,1,0.78767,-0.001,-0.10,0,0.001,0.13,-0.001,-0.10,0.03,0.00,2
92,Exit short,2026-01-20 09:00,TP_OR_SL,0.7912,1,0.78992,-0.001,-0.16,0,0.002,0.27,-0.001,-0.16,0.03,0.00,3
92,Entry short,2026-01-20 06:00,USDCHF_1100_SHORT,0.78992,1,0.78992,-0.001,-0.16,0,0.002,0.27,-0.001,-0.16,0.03,0.00,3
93,Exit short,2026-01-27 07:00,TP_OR_SL,0.77152,1,0.77432,0.003,0.36,0,0.003,0.36,-0.0001,-0.01,0.03,0.00,1
93,Entry short,2026-01-27 06:00,USDCHF_1100_SHORT,0.77432,1,0.77432,0.003,0.36,0,0.003,0.36,-0.0001,-0.01,0.03,0.00,1
94,Exit short,2026-02-09 08:00,TP_OR_SL,0.7694,1,0.77142,0.002,0.26,0,0.002,0.26,0,0.00,0.04,0.00,2
94,Entry short,2026-02-09 06:00,USDCHF_1100_SHORT,0.77142,1,0.77142,0.002,0.26,0,0.002,0.26,0,0.00,0.04,0.00,2
95,Exit short,2026-03-10 10:00,TIME_EXIT,0.77531,1,0.77598,0.001,0.09,0,0.001,0.15,-0.001,-0.13,0.04,0.00,3
95,Entry short,2026-03-10 07:00,USDCHF_1100_SHORT,0.77598,1,0.77598,0.001,0.09,0,0.001,0.15,-0.001,-0.13,0.04,0.00,3
96,Exit short,2026-03-20 09:00,TP_OR_SL,0.78806,1,0.78686,-0.001,-0.15,0,0.001,0.17,-0.001,-0.15,0.03,0.00,2
96,Entry short,2026-03-20 07:00,USDCHF_1100_SHORT,0.78686,1,0.78686,-0.001,-0.15,0,0.001,0.17,-0.001,-0.15,0.03,0.00,2
97,Exit short,2026-04-01 09:00,TP_OR_SL,0.79312,1,0.79176,-0.001,-0.17,0,0.001,0.16,-0.001,-0.17,0.03,0.00,2
97,Entry short,2026-04-01 07:00,USDCHF_1100_SHORT,0.79176,1,0.79176,-0.001,-0.17,0,0.001,0.16,-0.001,-0.17,0.03,0.00,2
98,Exit short,2026-04-08 10:00,TIME_EXIT,0.78854,1,0.78842,-0.0001,-0.02,0,0.001,0.19,-0.001,-0.18,0.03,0.00,3
98,Entry short,2026-04-08 07:00,USDCHF_1100_SHORT,0.78842,1,0.78842,-0.0001,-0.02,0,0.001,0.19,-0.001,-0.18,0.03,0.00,3
99,Exit short,2026-04-10 09:00,TP_OR_SL,0.78691,1,0.78884,0.002,0.24,0,0.002,0.24,-0.0002,-0.03,0.04,0.00,2
99,Entry short,2026-04-10 07:00,USDCHF_1100_SHORT,0.78884,1,0.78884,0.002,0.24,0,0.002,0.24,-0.0002,-0.03,0.04,0.00,2
100,Exit short,2026-04-20 10:00,TP_OR_SL,0.77931,1,0.78117,0.002,0.24,0,0.002,0.24,-0.001,-0.10,0.04,0.00,3
100,Entry short,2026-04-20 07:00,USDCHF_1100_SHORT,0.78117,1,0.78117,0.002,0.24,0,0.002,0.24,-0.001,-0.10,0.04,0.00,3
101,Exit short,2026-05-01 10:00,TP_OR_SL,0.77817,1,0.78048,0.002,0.30,0,0.002,0.30,-0.001,-0.13,0.04,0.00,3
101,Entry short,2026-05-01 07:00,USDCHF_1100_SHORT,0.78048,1,0.78048,0.002,0.30,0,0.002,0.30,-0.001,-0.13,0.04,0.00,3
102,Exit short,2026-05-29 10:00,TP_OR_SL,0.78054,1,0.78216,0.002,0.21,0,0.002,0.21,-0.001,-0.09,0.04,0.00,3
102,Entry short,2026-05-29 07:00,USDCHF_1100_SHORT,0.78216,1,0.78216,0.002,0.21,0,0.002,0.21,-0.001,-0.09,0.04,0.00,3
103,Exit short,2026-09-03 09:00,TP_OR_SL,0.80665,1,0.80872,0.002,0.26,0,0.002,0.26,-0.001,-0.08,0.04,0.00,2
103,Entry short,2026-09-03 07:00,USDCHF_1100_SHORT,0.80872,1,0.80872,0.002,0.26,0,0.002,0.26,-0.001,-0.08,0.04,0.00,2
104,Exit short,2026-09-09 10:00,TIME_EXIT,0.80762,1,0.80775,0.0001,0.02,0,0.001,0.12,-0.0004,-0.05,0.04,0.00,3
104,Entry short,2026-09-09 07:00,USDCHF_1100_SHORT,0.80775,1,0.80775,0.0001,0.02,0,0.001,0.12,-0.0004,-0.05,0.04,0.00,3
